cate,subCate,stimulus,mkCate
Objects,boot,U:\Documents\DCC\exp4\Stimuli\Objects\boot\15860736.thl-removebg-preview.png,206
Objects,boot,U:\Documents\DCC\exp4\Stimuli\Objects\boot\15860784.thl-removebg-preview.png,206
Objects,boot,U:\Documents\DCC\exp4\Stimuli\Objects\boot\22978099.thl-removebg-preview.png,206
Objects,boot,U:\Documents\DCC\exp4\Stimuli\Objects\boot\26424364.thl-removebg-preview.png,206
Objects,boot,U:\Documents\DCC\exp4\Stimuli\Objects\boot\34936580.thl-removebg-preview.png,206
Objects,boot,U:\Documents\DCC\exp4\Stimuli\Objects\boot\35311865.thl-removebg-preview.png,206
Objects,boot,U:\Documents\DCC\exp4\Stimuli\Objects\boot\ABOOTS26-removebg-preview.png,206
Objects,boot,U:\Documents\DCC\exp4\Stimuli\Objects\boot\ACABOOTS2-removebg-preview.png,206
Objects,boot,U:\Documents\DCC\exp4\Stimuli\Objects\boot\ARUBBOOT8-removebg-preview.png,206
Objects,boot,U:\Documents\DCC\exp4\Stimuli\Objects\boot\BOOT-removebg-preview.png,206
Objects,boot,U:\Documents\DCC\exp4\Stimuli\Objects\boot\british_army_surplus_jungle_boot_300-removebg-preview.png,206
Objects,boot,U:\Documents\DCC\exp4\Stimuli\Objects\boot\clothes_7-removebg-preview.png,206
Objects,boot,U:\Documents\DCC\exp4\Stimuli\Objects\boot\clothes_8-removebg-preview.png,206
Objects,boot,U:\Documents\DCC\exp4\Stimuli\Objects\boot\clothes_9-removebg-preview.png,206
Objects,boot,U:\Documents\DCC\exp4\Stimuli\Objects\boot\jungle_boot-removebg-preview.png,206
Objects,boot,U:\Documents\DCC\exp4\Stimuli\Objects\boot\tecnica_denise-boot_oker_ocra-removebg-preview.png,206
Objects,boot,U:\Documents\DCC\exp4\Stimuli\Objects\boot\Women_s_Boot-removebg-preview.png,206
