cate,subCate,stimulus,mkCate
Objects,bowl,U:\Documents\DCC\exp4\Stimuli\Objects\bowl\21123_285-removebg-preview.png,207
Objects,bowl,U:\Documents\DCC\exp4\Stimuli\Objects\bowl\Abowl46-removebg-preview.png,207
Objects,bowl,U:\Documents\DCC\exp4\Stimuli\Objects\bowl\Abowl50-removebg-preview.png,207
Objects,bowl,U:\Documents\DCC\exp4\Stimuli\Objects\bowl\Abowl52-removebg-preview.png,207
Objects,bowl,U:\Documents\DCC\exp4\Stimuli\Objects\bowl\Abowl54-removebg-preview.png,207
Objects,bowl,U:\Documents\DCC\exp4\Stimuli\Objects\bowl\Abowl59-removebg-preview.png,207
Objects,bowl,U:\Documents\DCC\exp4\Stimuli\Objects\bowl\Abowl77-removebg-preview.png,207
Objects,bowl,U:\Documents\DCC\exp4\Stimuli\Objects\bowl\ABOWL8-removebg-preview.png,207
Objects,bowl,U:\Documents\DCC\exp4\Stimuli\Objects\bowl\ABOWL9-removebg-preview.png,207
Objects,bowl,U:\Documents\DCC\exp4\Stimuli\Objects\bowl\ABOWLS6-removebg-preview.png,207
Objects,bowl,U:\Documents\DCC\exp4\Stimuli\Objects\bowl\AMIXBOWL2-removebg-preview.png,207
Objects,bowl,U:\Documents\DCC\exp4\Stimuli\Objects\bowl\Aredglassbowl-removebg-preview.png,207
Objects,bowl,U:\Documents\DCC\exp4\Stimuli\Objects\bowl\ASALABOWL-removebg-preview.png,207
Objects,bowl,U:\Documents\DCC\exp4\Stimuli\Objects\bowl\ASLVBOWL-removebg-preview.png,207
Objects,bowl,U:\Documents\DCC\exp4\Stimuli\Objects\bowl\Asoupbowl8-removebg-preview.png,207
Objects,bowl,U:\Documents\DCC\exp4\Stimuli\Objects\bowl\Awhitebowl2-removebg-preview.png,207
Objects,bowl,U:\Documents\DCC\exp4\Stimuli\Objects\bowl\AWOODBOWL-removebg-preview.png,207
