cate,subCate,stimulus,mkCate
Objects,bowtie,U:\Documents\DCC\exp4\Stimuli\Objects\bowtie\19778-removebg-preview.png,208
Objects,bowtie,U:\Documents\DCC\exp4\Stimuli\Objects\bowtie\22613_Bowtie_Clown_Large-removebg-preview.png,208
Objects,bowtie,U:\Documents\DCC\exp4\Stimuli\Objects\bowtie\793_699_popup-removebg-preview.png,208
Objects,bowtie,U:\Documents\DCC\exp4\Stimuli\Objects\bowtie\ABOWTIE-removebg-preview.png,208
Objects,bowtie,U:\Documents\DCC\exp4\Stimuli\Objects\bowtie\ABOWTIE10-removebg-preview.png,208
Objects,bowtie,U:\Documents\DCC\exp4\Stimuli\Objects\bowtie\ABOWTIE2-removebg-preview.png,208
Objects,bowtie,U:\Documents\DCC\exp4\Stimuli\Objects\bowtie\ABOWTIE3-removebg-preview.png,208
Objects,bowtie,U:\Documents\DCC\exp4\Stimuli\Objects\bowtie\ABOWTIE4-removebg-preview.png,208
Objects,bowtie,U:\Documents\DCC\exp4\Stimuli\Objects\bowtie\ABOWTIE5-removebg-preview.png,208
Objects,bowtie,U:\Documents\DCC\exp4\Stimuli\Objects\bowtie\ABOWTIE7-removebg-preview.png,208
Objects,bowtie,U:\Documents\DCC\exp4\Stimuli\Objects\bowtie\ABOWTIE8-removebg-preview.png,208
Objects,bowtie,U:\Documents\DCC\exp4\Stimuli\Objects\bowtie\ABOWTIE9-removebg-preview.png,208
Objects,bowtie,U:\Documents\DCC\exp4\Stimuli\Objects\bowtie\bottle_green_bow_tie_300-removebg-preview.png,208
Objects,bowtie,U:\Documents\DCC\exp4\Stimuli\Objects\bowtie\bowtie-1-removebg-preview.png,208
Objects,bowtie,U:\Documents\DCC\exp4\Stimuli\Objects\bowtie\BTS30-removebg-preview.png,208
Objects,bowtie,U:\Documents\DCC\exp4\Stimuli\Objects\bowtie\SM01.402cs-removebg-preview.png,208
Objects,bowtie,U:\Documents\DCC\exp4\Stimuli\Objects\bowtie\WT999001L-removebg-preview.png,208
