cate,subCate,stimulus,mkCate
Animals,butterfly,U:\Documents\DCC\exp4\Stimuli\Animals\butterfly\023346879ad676332e0b0a36bfb059d3.png,16
Animals,butterfly,U:\Documents\DCC\exp4\Stimuli\Animals\butterfly\1c781cf0f3e8a6cea085357ace2c0ba5.png,16
Animals,butterfly,U:\Documents\DCC\exp4\Stimuli\Animals\butterfly\2041360e81ca6ec4d8f41d54f7907187.png,16
Animals,butterfly,U:\Documents\DCC\exp4\Stimuli\Animals\butterfly\27d751a4793e0496d33c22088e63347e.png,16
Animals,butterfly,U:\Documents\DCC\exp4\Stimuli\Animals\butterfly\315f02ea2928623fe1027abf1a1b0684.png,16
Animals,butterfly,U:\Documents\DCC\exp4\Stimuli\Animals\butterfly\381baf96e36d964083e592df673bc691.png,16
Animals,butterfly,U:\Documents\DCC\exp4\Stimuli\Animals\butterfly\38d4c017eb4fe8b3077e1cbfe037ecae.png,16
Animals,butterfly,U:\Documents\DCC\exp4\Stimuli\Animals\butterfly\5e39f5dd29476c0707d3cf86d526ba3b.png,16
Animals,butterfly,U:\Documents\DCC\exp4\Stimuli\Animals\butterfly\7503c85365e2f6a09c0e78eb109eb6ad.png,16
Animals,butterfly,U:\Documents\DCC\exp4\Stimuli\Animals\butterfly\790bb2348555604ebcd174da3366cc7f.png,16
Animals,butterfly,U:\Documents\DCC\exp4\Stimuli\Animals\butterfly\7f76a962d1e9d4f21f0994a56cdf6d94.png,16
Animals,butterfly,U:\Documents\DCC\exp4\Stimuli\Animals\butterfly\9ab1de64993575ff6d9acf501e554a0a.png,16
Animals,butterfly,U:\Documents\DCC\exp4\Stimuli\Animals\butterfly\d29ece2a884929b1d23f8d44cea2d58f.png,16
Animals,butterfly,U:\Documents\DCC\exp4\Stimuli\Animals\butterfly\d3d9c5672fe0c36e3ac6d517469b2187.png,16
Animals,butterfly,U:\Documents\DCC\exp4\Stimuli\Animals\butterfly\d7117a1f405c224227742e9ba7c27cfe.png,16
Animals,butterfly,U:\Documents\DCC\exp4\Stimuli\Animals\butterfly\f44eb5b1ffd23f88177e1fcc651cbbe3.png,16
Animals,butterfly,U:\Documents\DCC\exp4\Stimuli\Animals\butterfly\f58406c02083fae1c4c4f237c10cf895.png,16
