cate,subCate,stimulus,mkCate
Objects,calculator,U:\Documents\DCC\exp4\Stimuli\Objects\calculator\22829064.thl-removebg-preview.png,209
Objects,calculator,U:\Documents\DCC\exp4\Stimuli\Objects\calculator\22829184.thl-removebg-preview.png,209
Objects,calculator,U:\Documents\DCC\exp4\Stimuli\Objects\calculator\22829316.thl-removebg-preview.png,209
Objects,calculator,U:\Documents\DCC\exp4\Stimuli\Objects\calculator\22829340.thl-removebg-preview.png,209
Objects,calculator,U:\Documents\DCC\exp4\Stimuli\Objects\calculator\22829508.thl-removebg-preview.png,209
Objects,calculator,U:\Documents\DCC\exp4\Stimuli\Objects\calculator\22903496.thl-removebg-preview.png,209
Objects,calculator,U:\Documents\DCC\exp4\Stimuli\Objects\calculator\26377654.thl-removebg-preview.png,209
Objects,calculator,U:\Documents\DCC\exp4\Stimuli\Objects\calculator\26377655.thl-removebg-preview.png,209
Objects,calculator,U:\Documents\DCC\exp4\Stimuli\Objects\calculator\26377657.thl-removebg-preview.png,209
Objects,calculator,U:\Documents\DCC\exp4\Stimuli\Objects\calculator\26444243.thl-removebg-preview.png,209
Objects,calculator,U:\Documents\DCC\exp4\Stimuli\Objects\calculator\26444301.thl-removebg-preview.png,209
Objects,calculator,U:\Documents\DCC\exp4\Stimuli\Objects\calculator\ACALCUL23-removebg-preview.png,209
Objects,calculator,U:\Documents\DCC\exp4\Stimuli\Objects\calculator\Acalculator10-removebg-preview.png,209
Objects,calculator,U:\Documents\DCC\exp4\Stimuli\Objects\calculator\Acalculator3-removebg-preview.png,209
Objects,calculator,U:\Documents\DCC\exp4\Stimuli\Objects\calculator\Acalculatorso-removebg-preview.png,209
Objects,calculator,U:\Documents\DCC\exp4\Stimuli\Objects\calculator\Aelectronicor-removebg-preview.png,209
Objects,calculator,U:\Documents\DCC\exp4\Stimuli\Objects\calculator\Measuring_Tape_with_Calculator_and_Memo_Pad-removebg-preview.png,209
