cate,subCate,stimulus,mkCate
Objects,camcorder,U:\Documents\DCC\exp4\Stimuli\Objects\camcorder\00000102404-SonyDCRTRV280Digital8camcorder-large-removebg-preview.png,210
Objects,camcorder,U:\Documents\DCC\exp4\Stimuli\Objects\camcorder\152-removebg-preview.png,210
Objects,camcorder,U:\Documents\DCC\exp4\Stimuli\Objects\camcorder\aiptek_pocketdv_8900_camcorder-removebg-preview.png,210
Objects,camcorder,U:\Documents\DCC\exp4\Stimuli\Objects\camcorder\b2c_l_scd6550-removebg-preview.png,210
Objects,camcorder,U:\Documents\DCC\exp4\Stimuli\Objects\camcorder\Camcorder-removebg-preview.png,210
Objects,camcorder,U:\Documents\DCC\exp4\Stimuli\Objects\camcorder\camcorderf235f333-removebg-preview.png,210
Objects,camcorder,U:\Documents\DCC\exp4\Stimuli\Objects\camcorder\canonhv10camcorder-removebg-preview.png,210
Objects,camcorder,U:\Documents\DCC\exp4\Stimuli\Objects\camcorder\Canon_TX1_3_-removebg-preview.png,210
Objects,camcorder,U:\Documents\DCC\exp4\Stimuli\Objects\camcorder\HDRFX1_Camcorder-removebg-preview.png,210
Objects,camcorder,U:\Documents\DCC\exp4\Stimuli\Objects\camcorder\HDRFX7_2_-removebg-preview.png,210
Objects,camcorder,U:\Documents\DCC\exp4\Stimuli\Objects\camcorder\HV20_three_quarter_door_open_highres_2_-removebg-preview.png,210
Objects,camcorder,U:\Documents\DCC\exp4\Stimuli\Objects\camcorder\JVC_GZ-HD7_vanity_350_2_1-removebg-preview.png,210
Objects,camcorder,U:\Documents\DCC\exp4\Stimuli\Objects\camcorder\Sony-DCR-SR1000-camcorder_4_1-removebg-preview.png,210
Objects,camcorder,U:\Documents\DCC\exp4\Stimuli\Objects\camcorder\sony-HDR-HC3-camcorder-removebg-preview.png,210
Objects,camcorder,U:\Documents\DCC\exp4\Stimuli\Objects\camcorder\sonytrv218_418a-removebg-preview.png,210
Objects,camcorder,U:\Documents\DCC\exp4\Stimuli\Objects\camcorder\Style-DV3-removebg-preview.png,210
Objects,camcorder,U:\Documents\DCC\exp4\Stimuli\Objects\camcorder\VPC-CA6_5_-removebg-preview.png,210
