cate,subCate,stimulus,mkCate
Animals,cat,U:\Documents\DCC\exp4\Stimuli\Animals\cat\0f80c89fa6821634287fcbab804892d4.png,17
Animals,cat,U:\Documents\DCC\exp4\Stimuli\Animals\cat\2591854a806bb3d19aa833f8f1d30576.png,17
Animals,cat,U:\Documents\DCC\exp4\Stimuli\Animals\cat\25f57c4fe3e12b57d428faa392e69155.png,17
Animals,cat,U:\Documents\DCC\exp4\Stimuli\Animals\cat\3410d0e1f44315a63afea744fe152cd0.png,17
Animals,cat,U:\Documents\DCC\exp4\Stimuli\Animals\cat\3afa6919bc29c9d73d12a88fe3351c4a.png,17
Animals,cat,U:\Documents\DCC\exp4\Stimuli\Animals\cat\4a139180c6e935e1112ae76f4e5bbcc2.png,17
Animals,cat,U:\Documents\DCC\exp4\Stimuli\Animals\cat\59e22ba8eeb213c7465ce0f307307c1c.png,17
Animals,cat,U:\Documents\DCC\exp4\Stimuli\Animals\cat\69231884dd4a7632b447f97cd7207d61.png,17
Animals,cat,U:\Documents\DCC\exp4\Stimuli\Animals\cat\6fe6b5a1c9bb4b2a8b95f60ce1e34d4d.png,17
Animals,cat,U:\Documents\DCC\exp4\Stimuli\Animals\cat\828d43e7656ef2dbe31f2788e699ec8b.png,17
Animals,cat,U:\Documents\DCC\exp4\Stimuli\Animals\cat\91106a5e306531704796e248134ef739.png,17
Animals,cat,U:\Documents\DCC\exp4\Stimuli\Animals\cat\930b95fefb2f1c246ff08927c23a0c61.png,17
Animals,cat,U:\Documents\DCC\exp4\Stimuli\Animals\cat\ae8a8d0f851542fbc9c2017347b50dfd.png,17
Animals,cat,U:\Documents\DCC\exp4\Stimuli\Animals\cat\cat_05-removebg-preview.png,17
Animals,cat,U:\Documents\DCC\exp4\Stimuli\Animals\cat\d962e6900bf9521092674d247a470f11.png,17
Animals,cat,U:\Documents\DCC\exp4\Stimuli\Animals\cat\ee4e8394205249ae7adb921c4e72b05f.png,17
Animals,cat,U:\Documents\DCC\exp4\Stimuli\Animals\cat\f912964e88e23504b113c2dcacd65f5c.png,17
