cate,subCate,stimulus,mkCate
Objects,ceilingfan,U:\Documents\DCC\exp4\Stimuli\Objects\ceilingfan\1414c675-de2c-42cd-861f-023079543b17_300-removebg-preview.png,211
Objects,ceilingfan,U:\Documents\DCC\exp4\Stimuli\Objects\ceilingfan\2664ed9f-c7df-4cde-8866-ed55b2c0277a_300-removebg-preview.png,211
Objects,ceilingfan,U:\Documents\DCC\exp4\Stimuli\Objects\ceilingfan\51312568-cd00-4241-9638-47ae9f33fbaa_300-removebg-preview.png,211
Objects,ceilingfan,U:\Documents\DCC\exp4\Stimuli\Objects\ceilingfan\6452cd12-10c6-492a-b59c-ffac9f8f4b0c_300-removebg-preview.png,211
Objects,ceilingfan,U:\Documents\DCC\exp4\Stimuli\Objects\ceilingfan\6897ddb0-bc4e-4f17-aea3-9949ef29e993_300-removebg-preview.png,211
Objects,ceilingfan,U:\Documents\DCC\exp4\Stimuli\Objects\ceilingfan\893dea26-1d75-4a59-954b-03ca3439bfbe_300-removebg-preview.png,211
Objects,ceilingfan,U:\Documents\DCC\exp4\Stimuli\Objects\ceilingfan\a00e7dbe-acad-41ed-b95d-6b5ffbbe4c9a_300-removebg-preview.png,211
Objects,ceilingfan,U:\Documents\DCC\exp4\Stimuli\Objects\ceilingfan\b034bb18-1b11-4187-b050-5199b7ad1c83_300-removebg-preview.png,211
Objects,ceilingfan,U:\Documents\DCC\exp4\Stimuli\Objects\ceilingfan\b79928f8-f549-44f9-b63d-8d8298589d17_300-removebg-preview.png,211
Objects,ceilingfan,U:\Documents\DCC\exp4\Stimuli\Objects\ceilingfan\ba9988fd-9041-4b74-9cfb-06dde69e373e_300-removebg-preview.png,211
Objects,ceilingfan,U:\Documents\DCC\exp4\Stimuli\Objects\ceilingfan\c0f8fae5-6fed-47bc-a7d7-fcff6f5efa6f_300-removebg-preview.png,211
Objects,ceilingfan,U:\Documents\DCC\exp4\Stimuli\Objects\ceilingfan\c9151c3f-a859-4abe-804b-8b1f59df8a75_300-removebg-preview.png,211
Objects,ceilingfan,U:\Documents\DCC\exp4\Stimuli\Objects\ceilingfan\cc2848e5-1f8e-49af-94b0-8c4d3ea0f488_300-removebg-preview.png,211
Objects,ceilingfan,U:\Documents\DCC\exp4\Stimuli\Objects\ceilingfan\d053bc6d-a624-4aff-82ff-480ec0396d53_300-removebg-preview.png,211
Objects,ceilingfan,U:\Documents\DCC\exp4\Stimuli\Objects\ceilingfan\dce9c88a-85f7-48de-aa55-246e05bce514_300-removebg-preview.png,211
Objects,ceilingfan,U:\Documents\DCC\exp4\Stimuli\Objects\ceilingfan\e4773f88-a985-4897-af63-345fe588f2e8_300-removebg-preview.png,211
Objects,ceilingfan,U:\Documents\DCC\exp4\Stimuli\Objects\ceilingfan\f9ee401c-1a68-4938-a855-db837286a959_300-removebg-preview.png,211
