cate,subCate,stimulus,mkCate
Objects,cookpot,U:\Documents\DCC\exp4\Stimuli\Objects\cookpot\0900631b8120f79cM-removebg-preview.png,212
Objects,cookpot,U:\Documents\DCC\exp4\Stimuli\Objects\cookpot\26373121.thl-removebg-preview.png,212
Objects,cookpot,U:\Documents\DCC\exp4\Stimuli\Objects\cookpot\26373465.thl-removebg-preview.png,212
Objects,cookpot,U:\Documents\DCC\exp4\Stimuli\Objects\cookpot\26378587.thl-removebg-preview.png,212
Objects,cookpot,U:\Documents\DCC\exp4\Stimuli\Objects\cookpot\26378610.thl-removebg-preview.png,212
Objects,cookpot,U:\Documents\DCC\exp4\Stimuli\Objects\cookpot\26378630.thl-removebg-preview.png,212
Objects,cookpot,U:\Documents\DCC\exp4\Stimuli\Objects\cookpot\26427266.thl-removebg-preview.png,212
Objects,cookpot,U:\Documents\DCC\exp4\Stimuli\Objects\cookpot\ACOOKPO14-removebg-preview.png,212
Objects,cookpot,U:\Documents\DCC\exp4\Stimuli\Objects\cookpot\ACOOKPO31-removebg-preview.png,212
Objects,cookpot,U:\Documents\DCC\exp4\Stimuli\Objects\cookpot\ACOOKPO44-removebg-preview.png,212
Objects,cookpot,U:\Documents\DCC\exp4\Stimuli\Objects\cookpot\ACOOKPO46-removebg-preview.png,212
Objects,cookpot,U:\Documents\DCC\exp4\Stimuli\Objects\cookpot\ACOOKPO51-removebg-preview.png,212
Objects,cookpot,U:\Documents\DCC\exp4\Stimuli\Objects\cookpot\ACOOKPO56-removebg-preview.png,212
Objects,cookpot,U:\Documents\DCC\exp4\Stimuli\Objects\cookpot\porcelain-cookware-removebg-preview.png,212
Objects,cookpot,U:\Documents\DCC\exp4\Stimuli\Objects\cookpot\pot10-removebg-preview.png,212
Objects,cookpot,U:\Documents\DCC\exp4\Stimuli\Objects\cookpot\pot25-removebg-preview.png,212
Objects,cookpot,U:\Documents\DCC\exp4\Stimuli\Objects\cookpot\pot9-removebg-preview.png,212
