cate,subCate,stimulus,mkCate
Animals,cow,U:\Documents\DCC\exp4\Stimuli\Animals\cow\0174dec7fd2c6ddf68147658e51de2d4.png,19
Animals,cow,U:\Documents\DCC\exp4\Stimuli\Animals\cow\13377dfa3f30596a923206a0090b9a26.png,19
Animals,cow,U:\Documents\DCC\exp4\Stimuli\Animals\cow\3d93b459b57d82b53b448529cb893857.png,19
Animals,cow,U:\Documents\DCC\exp4\Stimuli\Animals\cow\42520a9bb69cecea35b910b3018f58fa.png,19
Animals,cow,U:\Documents\DCC\exp4\Stimuli\Animals\cow\48be9ab0f5dc7b06630bd1e114706e98.png,19
Animals,cow,U:\Documents\DCC\exp4\Stimuli\Animals\cow\572c79226347462242f16d959bca719b.png,19
Animals,cow,U:\Documents\DCC\exp4\Stimuli\Animals\cow\60ab1724d6e8bd3b13b29edd6598d1d3.png,19
Animals,cow,U:\Documents\DCC\exp4\Stimuli\Animals\cow\68c87bf574ebb5c5acb74c5b8bef680e.png,19
Animals,cow,U:\Documents\DCC\exp4\Stimuli\Animals\cow\77f93bf5a04e62e6b356ebf6f3988c9e.png,19
Animals,cow,U:\Documents\DCC\exp4\Stimuli\Animals\cow\863197639ba181c7e0f6e946f35c5df3.png,19
Animals,cow,U:\Documents\DCC\exp4\Stimuli\Animals\cow\8bf08732d65ae78a69a8968a7544b60d.png,19
Animals,cow,U:\Documents\DCC\exp4\Stimuli\Animals\cow\9905d460a29f28fd843eabac14916ca1.png,19
Animals,cow,U:\Documents\DCC\exp4\Stimuli\Animals\cow\c3c9379a5cc9a5395506dc5bb08bd207.png,19
Animals,cow,U:\Documents\DCC\exp4\Stimuli\Animals\cow\ceb0d75d134ad00bef2c315dd07100f8.png,19
Animals,cow,U:\Documents\DCC\exp4\Stimuli\Animals\cow\cow_09-removebg-preview.png,19
Animals,cow,U:\Documents\DCC\exp4\Stimuli\Animals\cow\f49aeb7bacdc1ff550691218055889fd.png,19
Animals,cow,U:\Documents\DCC\exp4\Stimuli\Animals\cow\fc0f5f867df069e8ddf5c6c8f1dcb59a.png,19
