cate,subCate,stimulus,mkCate
Animals,crustacea,U:\Documents\DCC\exp4\Stimuli\Animals\crustacea\0402ec967e9e151eeb49c9f464207734.png,20
Animals,crustacea,U:\Documents\DCC\exp4\Stimuli\Animals\crustacea\04d0d2d765279fbe25a7c34c24fc51c0.png,20
Animals,crustacea,U:\Documents\DCC\exp4\Stimuli\Animals\crustacea\0afacb07047087da3745d29fd7d28a4e.png,20
Animals,crustacea,U:\Documents\DCC\exp4\Stimuli\Animals\crustacea\15774117c260558215d42875a739a315.png,20
Animals,crustacea,U:\Documents\DCC\exp4\Stimuli\Animals\crustacea\1b02accafcde4529a005847c2ac88ea4.png,20
Animals,crustacea,U:\Documents\DCC\exp4\Stimuli\Animals\crustacea\26d94fb2e65aec2fdf3114b1e3ab211b.png,20
Animals,crustacea,U:\Documents\DCC\exp4\Stimuli\Animals\crustacea\2ad3bd7ff9dc435c7863d99f82acf8c4.png,20
Animals,crustacea,U:\Documents\DCC\exp4\Stimuli\Animals\crustacea\533cad0c7878ecd693f99a6aedcef959.png,20
Animals,crustacea,U:\Documents\DCC\exp4\Stimuli\Animals\crustacea\647d64d47122455780ce567c6cc82a9a.png,20
Animals,crustacea,U:\Documents\DCC\exp4\Stimuli\Animals\crustacea\6e514075deafa3b96450283aa940a828.png,20
Animals,crustacea,U:\Documents\DCC\exp4\Stimuli\Animals\crustacea\8ad01670f2df21a1aa467f9c4129b695.png,20
Animals,crustacea,U:\Documents\DCC\exp4\Stimuli\Animals\crustacea\9cb65595c02c736cba8384e43667a3c7.png,20
Animals,crustacea,U:\Documents\DCC\exp4\Stimuli\Animals\crustacea\9f53907707ba885898d8caea9c2a0e29.png,20
Animals,crustacea,U:\Documents\DCC\exp4\Stimuli\Animals\crustacea\a255ba4a7fcc0c160888003f593b5327.png,20
Animals,crustacea,U:\Documents\DCC\exp4\Stimuli\Animals\crustacea\a62b003ef7d78c1dd65ce8cfb7a6d63f.png,20
Animals,crustacea,U:\Documents\DCC\exp4\Stimuli\Animals\crustacea\e2a1822af2947d87ca866e2aa948dfc6.png,20
Animals,crustacea,U:\Documents\DCC\exp4\Stimuli\Animals\crustacea\e813887df10f503408d0b9da0a9d9e3a.png,20
