cate,subCate,stimulus,mkCate
Animals,deer,U:\Documents\DCC\exp4\Stimuli\Animals\deer\16f3c79f4922a1f3290d4528cbddd3cd.png,23
Animals,deer,U:\Documents\DCC\exp4\Stimuli\Animals\deer\18c8a91847d4e9571506cd8a466e788b.png,23
Animals,deer,U:\Documents\DCC\exp4\Stimuli\Animals\deer\2c4ea749d5a8bd4ed2d08223dc017aaf.png,23
Animals,deer,U:\Documents\DCC\exp4\Stimuli\Animals\deer\412a37b9e59ca633fd2711076c031343.png,23
Animals,deer,U:\Documents\DCC\exp4\Stimuli\Animals\deer\5d168fef4d303a2bec55eaec8755caa4.png,23
Animals,deer,U:\Documents\DCC\exp4\Stimuli\Animals\deer\675e37aa277e3600b40051629975b87b.png,23
Animals,deer,U:\Documents\DCC\exp4\Stimuli\Animals\deer\6ef2777508dfc6397b7de856eb5bdfae.png,23
Animals,deer,U:\Documents\DCC\exp4\Stimuli\Animals\deer\72326f94dbaf31885bde9f782599409d.png,23
Animals,deer,U:\Documents\DCC\exp4\Stimuli\Animals\deer\8651fc8b823b6d21f3387c80d69302c0.png,23
Animals,deer,U:\Documents\DCC\exp4\Stimuli\Animals\deer\a35ffcba74733b603ba40e8ca3b2d196.png,23
Animals,deer,U:\Documents\DCC\exp4\Stimuli\Animals\deer\bc0b5cb5916e744dd7c5ce8bf0ad21a7.png,23
Animals,deer,U:\Documents\DCC\exp4\Stimuli\Animals\deer\bdcdae281d8d8efd7993ed59b0b23170.png,23
Animals,deer,U:\Documents\DCC\exp4\Stimuli\Animals\deer\c62fb6535ed06aaba7d123f6d7632405.png,23
Animals,deer,U:\Documents\DCC\exp4\Stimuli\Animals\deer\cb632e6854fcbaf3c824989dac9786a7.png,23
Animals,deer,U:\Documents\DCC\exp4\Stimuli\Animals\deer\e061b8f5884e77c473669a1fbf898521.png,23
Animals,deer,U:\Documents\DCC\exp4\Stimuli\Animals\deer\ea486ccd3f33ea4e6ddf20a581f9cf19.png,23
Animals,deer,U:\Documents\DCC\exp4\Stimuli\Animals\deer\ec71f169a34aadaedd5b4a3ac065cfe1.png,23
