cate,subCate,stimulus,mkCate
Animals,dog,U:\Documents\DCC\exp4\Stimuli\Animals\dog\0b17294f12dd6622877a1bca29ccb137.png,25
Animals,dog,U:\Documents\DCC\exp4\Stimuli\Animals\dog\18dc569bcf27ef8879f370151cf6ff9a.png,25
Animals,dog,U:\Documents\DCC\exp4\Stimuli\Animals\dog\2059b3f07939f361b4824378e034c5ce.png,25
Animals,dog,U:\Documents\DCC\exp4\Stimuli\Animals\dog\45a40c9ad2d6960a616244052d4aa95b.png,25
Animals,dog,U:\Documents\DCC\exp4\Stimuli\Animals\dog\49883ee428917c0bc2f093384693216a.png,25
Animals,dog,U:\Documents\DCC\exp4\Stimuli\Animals\dog\4b8a2fe0d739158fb6ccf42d2c0f641a.png,25
Animals,dog,U:\Documents\DCC\exp4\Stimuli\Animals\dog\516a25d889caa4685bfe7ba7fd207f5e.png,25
Animals,dog,U:\Documents\DCC\exp4\Stimuli\Animals\dog\54c9a9eb412fa0a131ef0bb6c7b4f609.png,25
Animals,dog,U:\Documents\DCC\exp4\Stimuli\Animals\dog\70ee5d7adc0d72dd8786d63478fc1253.png,25
Animals,dog,U:\Documents\DCC\exp4\Stimuli\Animals\dog\8f671eb63a1828d4ef30b368b30af80d.png,25
Animals,dog,U:\Documents\DCC\exp4\Stimuli\Animals\dog\9219e0d0b42ac1295e670d500a904db4.png,25
Animals,dog,U:\Documents\DCC\exp4\Stimuli\Animals\dog\96655bfa9934b9488e6136660cea06f8.png,25
Animals,dog,U:\Documents\DCC\exp4\Stimuli\Animals\dog\aacf5005df71e05592380b1875e3349c.png,25
Animals,dog,U:\Documents\DCC\exp4\Stimuli\Animals\dog\bc547538788f777a6546a55a80c00c24.png,25
Animals,dog,U:\Documents\DCC\exp4\Stimuli\Animals\dog\d8ab8334135fb12eda011849bbc3d1b5.png,25
Animals,dog,U:\Documents\DCC\exp4\Stimuli\Animals\dog\db33bb1eb06de1a6cf4526bbfda7a823.png,25
Animals,dog,U:\Documents\DCC\exp4\Stimuli\Animals\dog\dd2db622264077fdbf02b5f6eb67268c.png,25
