cate,subCate,stimulus,mkCate
Animals,dragonfly,U:\Documents\DCC\exp4\Stimuli\Animals\dragonfly\0f1a07f79188e20fa393d0a5995d9308.png,26
Animals,dragonfly,U:\Documents\DCC\exp4\Stimuli\Animals\dragonfly\2c8d3cc0011c9d157d1c1e3ebf9d28f2.png,26
Animals,dragonfly,U:\Documents\DCC\exp4\Stimuli\Animals\dragonfly\44c6c89f3140b547eebf047861aa1dd1.png,26
Animals,dragonfly,U:\Documents\DCC\exp4\Stimuli\Animals\dragonfly\50ba3da59cb413626d91629dfc44e527.png,26
Animals,dragonfly,U:\Documents\DCC\exp4\Stimuli\Animals\dragonfly\519fac1bf7303e9345a4a59b40d63a96.png,26
Animals,dragonfly,U:\Documents\DCC\exp4\Stimuli\Animals\dragonfly\53952fef6427333aa042be26008c007a.png,26
Animals,dragonfly,U:\Documents\DCC\exp4\Stimuli\Animals\dragonfly\5bc43f0ee82a3f9c92cfb6c64b936090.png,26
Animals,dragonfly,U:\Documents\DCC\exp4\Stimuli\Animals\dragonfly\5f2286552b614b265a6e99ac3c35d1fe.png,26
Animals,dragonfly,U:\Documents\DCC\exp4\Stimuli\Animals\dragonfly\64cde2801d464a9dc3028f0ca0d0a3ea.png,26
Animals,dragonfly,U:\Documents\DCC\exp4\Stimuli\Animals\dragonfly\974dfdc4da89c8b12398a6ab4020acc3.png,26
Animals,dragonfly,U:\Documents\DCC\exp4\Stimuli\Animals\dragonfly\b6ce525753dfb7427c34c462983ec0f2.png,26
Animals,dragonfly,U:\Documents\DCC\exp4\Stimuli\Animals\dragonfly\b7e3e46e60d38dc32154900e679513e8.png,26
Animals,dragonfly,U:\Documents\DCC\exp4\Stimuli\Animals\dragonfly\cf7483f3683446b4d86551dfd2d45c16.png,26
Animals,dragonfly,U:\Documents\DCC\exp4\Stimuli\Animals\dragonfly\dragonfly_07.png,26
Animals,dragonfly,U:\Documents\DCC\exp4\Stimuli\Animals\dragonfly\dragonfly_08.png,26
Animals,dragonfly,U:\Documents\DCC\exp4\Stimuli\Animals\dragonfly\dragonfly_16-removebg-preview.png,26
Animals,dragonfly,U:\Documents\DCC\exp4\Stimuli\Animals\dragonfly\fde826748a178678a6c790e66ed8b2dd.png,26
