cate,subCate,stimulus,mkCate
Objects,dumbbell,U:\Documents\DCC\exp4\Stimuli\Objects\dumbbell\dumbell01-removebg-preview.png,213
Objects,dumbbell,U:\Documents\DCC\exp4\Stimuli\Objects\dumbbell\dumbell02-removebg-preview.png,213
Objects,dumbbell,U:\Documents\DCC\exp4\Stimuli\Objects\dumbbell\dumbell03-removebg-preview.png,213
Objects,dumbbell,U:\Documents\DCC\exp4\Stimuli\Objects\dumbbell\dumbell04-removebg-preview.png,213
Objects,dumbbell,U:\Documents\DCC\exp4\Stimuli\Objects\dumbbell\dumbell05-removebg-preview.png,213
Objects,dumbbell,U:\Documents\DCC\exp4\Stimuli\Objects\dumbbell\dumbell06-removebg-preview.png,213
Objects,dumbbell,U:\Documents\DCC\exp4\Stimuli\Objects\dumbbell\dumbell07-removebg-preview.png,213
Objects,dumbbell,U:\Documents\DCC\exp4\Stimuli\Objects\dumbbell\dumbell08-removebg-preview.png,213
Objects,dumbbell,U:\Documents\DCC\exp4\Stimuli\Objects\dumbbell\dumbell09-removebg-preview.png,213
Objects,dumbbell,U:\Documents\DCC\exp4\Stimuli\Objects\dumbbell\dumbell10-removebg-preview.png,213
Objects,dumbbell,U:\Documents\DCC\exp4\Stimuli\Objects\dumbbell\dumbell11-removebg-preview.png,213
Objects,dumbbell,U:\Documents\DCC\exp4\Stimuli\Objects\dumbbell\dumbell12-removebg-preview.png,213
Objects,dumbbell,U:\Documents\DCC\exp4\Stimuli\Objects\dumbbell\dumbell13-removebg-preview.png,213
Objects,dumbbell,U:\Documents\DCC\exp4\Stimuli\Objects\dumbbell\dumbell14-removebg-preview.png,213
Objects,dumbbell,U:\Documents\DCC\exp4\Stimuli\Objects\dumbbell\dumbell15-removebg-preview.png,213
Objects,dumbbell,U:\Documents\DCC\exp4\Stimuli\Objects\dumbbell\dumbell16-removebg-preview.png,213
Objects,dumbbell,U:\Documents\DCC\exp4\Stimuli\Objects\dumbbell\dumbell17-removebg-preview.png,213
