cate,subCate,stimulus,mkCate
Animals,fish,U:\Documents\DCC\exp4\Stimuli\Animals\fish\fish_01-removebg-preview.png,27
Animals,fish,U:\Documents\DCC\exp4\Stimuli\Animals\fish\fish_02-removebg-preview.png,27
Animals,fish,U:\Documents\DCC\exp4\Stimuli\Animals\fish\fish_03-removebg-preview.png,27
Animals,fish,U:\Documents\DCC\exp4\Stimuli\Animals\fish\fish_04-removebg-preview.png,27
Animals,fish,U:\Documents\DCC\exp4\Stimuli\Animals\fish\fish_05-removebg-preview.png,27
Animals,fish,U:\Documents\DCC\exp4\Stimuli\Animals\fish\fish_06-removebg-preview.png,27
Animals,fish,U:\Documents\DCC\exp4\Stimuli\Animals\fish\fish_07-removebg-preview.png,27
Animals,fish,U:\Documents\DCC\exp4\Stimuli\Animals\fish\fish_08-removebg-preview.png,27
Animals,fish,U:\Documents\DCC\exp4\Stimuli\Animals\fish\fish_09-removebg-preview.png,27
Animals,fish,U:\Documents\DCC\exp4\Stimuli\Animals\fish\fish_10-removebg-preview.png,27
Animals,fish,U:\Documents\DCC\exp4\Stimuli\Animals\fish\fish_11-removebg-preview.png,27
Animals,fish,U:\Documents\DCC\exp4\Stimuli\Animals\fish\fish_12-removebg-preview.png,27
Animals,fish,U:\Documents\DCC\exp4\Stimuli\Animals\fish\fish_13-removebg-preview.png,27
Animals,fish,U:\Documents\DCC\exp4\Stimuli\Animals\fish\fish_14-removebg-preview.png,27
Animals,fish,U:\Documents\DCC\exp4\Stimuli\Animals\fish\fish_15-removebg-preview.png,27
Animals,fish,U:\Documents\DCC\exp4\Stimuli\Animals\fish\fish_16-removebg-preview.png,27
Animals,fish,U:\Documents\DCC\exp4\Stimuli\Animals\fish\fish_17-removebg-preview.png,27
