cate,subCate,stimulus,mkCate
Objects,flashlight,U:\Documents\DCC\exp4\Stimuli\Objects\flashlight\11900-removebg-preview.png,214
Objects,flashlight,U:\Documents\DCC\exp4\Stimuli\Objects\flashlight\834784_sk_lg-removebg-preview.png,214
Objects,flashlight,U:\Documents\DCC\exp4\Stimuli\Objects\flashlight\834808_sk_lg-removebg-preview.png,214
Objects,flashlight,U:\Documents\DCC\exp4\Stimuli\Objects\flashlight\AV-9_No_Battery_Flashlight-removebg-preview.png,214
Objects,flashlight,U:\Documents\DCC\exp4\Stimuli\Objects\flashlight\Flashlight-removebg-preview.png,214
Objects,flashlight,U:\Documents\DCC\exp4\Stimuli\Objects\flashlight\freeplay-jonta-flashlight-removebg-preview.png,214
Objects,flashlight,U:\Documents\DCC\exp4\Stimuli\Objects\flashlight\freeplay-xray-wind-up-led-flashlight-removebg-preview.png,214
Objects,flashlight,U:\Documents\DCC\exp4\Stimuli\Objects\flashlight\Graphite3D-removebg-preview.png,214
Objects,flashlight,U:\Documents\DCC\exp4\Stimuli\Objects\flashlight\new04-removebg-preview.png,214
Objects,flashlight,U:\Documents\DCC\exp4\Stimuli\Objects\flashlight\new05-removebg-preview.png,214
Objects,flashlight,U:\Documents\DCC\exp4\Stimuli\Objects\flashlight\new06-removebg-preview.png,214
Objects,flashlight,U:\Documents\DCC\exp4\Stimuli\Objects\flashlight\new08-removebg-preview.png,214
Objects,flashlight,U:\Documents\DCC\exp4\Stimuli\Objects\flashlight\sl_tasklight_2l3w-removebg-preview.png,214
Objects,flashlight,U:\Documents\DCC\exp4\Stimuli\Objects\flashlight\Small-Dynamo-Flashlight-With-Hand-Crank-Back-up-Power-B000AMKUH6-L-removebg-preview.png,214
Objects,flashlight,U:\Documents\DCC\exp4\Stimuli\Objects\flashlight\Streamlight-71001-Jr-Flashlight-W-batteries-black-B00018A3CG-L-removebg-preview.png,214
Objects,flashlight,U:\Documents\DCC\exp4\Stimuli\Objects\flashlight\Streamlight-Flashlight-LED-4AA-Yellow-Case-w-7-Blue-LEDs-B0000WUNSC-L-removebg-preview.png,214
Objects,flashlight,U:\Documents\DCC\exp4\Stimuli\Objects\flashlight\Streamlight-Stinger-Rechargeable-Flashlight-with-Charger-Black-75014-B00008BFSI-L-removebg-preview.png,214
