cate,subCate,stimulus,mkCate
Animals,frog,U:\Documents\DCC\exp4\Stimuli\Animals\frog\frog_01-removebg-preview.png,29
Animals,frog,U:\Documents\DCC\exp4\Stimuli\Animals\frog\frog_02-removebg-preview.png,29
Animals,frog,U:\Documents\DCC\exp4\Stimuli\Animals\frog\frog_03-removebg-preview.png,29
Animals,frog,U:\Documents\DCC\exp4\Stimuli\Animals\frog\frog_04-removebg-preview.png,29
Animals,frog,U:\Documents\DCC\exp4\Stimuli\Animals\frog\frog_05-removebg-preview.png,29
Animals,frog,U:\Documents\DCC\exp4\Stimuli\Animals\frog\frog_06-removebg-preview.png,29
Animals,frog,U:\Documents\DCC\exp4\Stimuli\Animals\frog\frog_07-removebg-preview.png,29
Animals,frog,U:\Documents\DCC\exp4\Stimuli\Animals\frog\frog_08-removebg-preview.png,29
Animals,frog,U:\Documents\DCC\exp4\Stimuli\Animals\frog\frog_09-removebg-preview.png,29
Animals,frog,U:\Documents\DCC\exp4\Stimuli\Animals\frog\frog_10-removebg-preview.png,29
Animals,frog,U:\Documents\DCC\exp4\Stimuli\Animals\frog\frog_11-removebg-preview.png,29
Animals,frog,U:\Documents\DCC\exp4\Stimuli\Animals\frog\frog_12-removebg-preview.png,29
Animals,frog,U:\Documents\DCC\exp4\Stimuli\Animals\frog\frog_13-removebg-preview.png,29
Animals,frog,U:\Documents\DCC\exp4\Stimuli\Animals\frog\frog_14-removebg-preview.png,29
Animals,frog,U:\Documents\DCC\exp4\Stimuli\Animals\frog\frog_15-removebg-preview.png,29
Animals,frog,U:\Documents\DCC\exp4\Stimuli\Animals\frog\frog_16-removebg-preview.png,29
Animals,frog,U:\Documents\DCC\exp4\Stimuli\Animals\frog\frog_17-removebg-preview.png,29
