cate,subCate,stimulus,mkCate
Objects,glove,U:\Documents\DCC\exp4\Stimuli\Objects\glove\7450-Pro-Gloves-Long-Back-removebg-preview.png,215
Objects,glove,U:\Documents\DCC\exp4\Stimuli\Objects\glove\ABLACGLOV-removebg-preview.png,215
Objects,glove,U:\Documents\DCC\exp4\Stimuli\Objects\glove\ABOXGLOV3-removebg-preview.png,215
Objects,glove,U:\Documents\DCC\exp4\Stimuli\Objects\glove\AGLOVES-removebg-preview.png,215
Objects,glove,U:\Documents\DCC\exp4\Stimuli\Objects\glove\AGLOVES5-removebg-preview.png,215
Objects,glove,U:\Documents\DCC\exp4\Stimuli\Objects\glove\AHOCKGLO2-removebg-preview.png,215
Objects,glove,U:\Documents\DCC\exp4\Stimuli\Objects\glove\Amitten9-removebg-preview.png,215
Objects,glove,U:\Documents\DCC\exp4\Stimuli\Objects\glove\Aweldersglove-removebg-preview.png,215
Objects,glove,U:\Documents\DCC\exp4\Stimuli\Objects\glove\Awinterglov13-removebg-preview.png,215
Objects,glove,U:\Documents\DCC\exp4\Stimuli\Objects\glove\Awinterglov14-removebg-preview.png,215
Objects,glove,U:\Documents\DCC\exp4\Stimuli\Objects\glove\Awinterglove2-removebg-preview.png,215
Objects,glove,U:\Documents\DCC\exp4\Stimuli\Objects\glove\Awinterglove9-removebg-preview.png,215
Objects,glove,U:\Documents\DCC\exp4\Stimuli\Objects\glove\black_alpaca_glova-removebg-preview.png,215
Objects,glove,U:\Documents\DCC\exp4\Stimuli\Objects\glove\gauntlet_3kev_leather_motorcycle_biker_gloves_b_250_-removebg-preview.png,215
Objects,glove,U:\Documents\DCC\exp4\Stimuli\Objects\glove\glove1-removebg-preview.png,215
Objects,glove,U:\Documents\DCC\exp4\Stimuli\Objects\glove\golf-glove-removebg-preview.png,215
Objects,glove,U:\Documents\DCC\exp4\Stimuli\Objects\glove\jp_glove_top-removebg-preview.png,215
