cate,subCate,stimulus,mkCate
Objects,guitar,U:\Documents\DCC\exp4\Stimuli\Objects\guitar\ACLASSIC5-removebg-preview.png,216
Objects,guitar,U:\Documents\DCC\exp4\Stimuli\Objects\guitar\AELCBGU10-removebg-preview.png,216
Objects,guitar,U:\Documents\DCC\exp4\Stimuli\Objects\guitar\AELCBGU12-removebg-preview.png,216
Objects,guitar,U:\Documents\DCC\exp4\Stimuli\Objects\guitar\AELCBGU13-removebg-preview.png,216
Objects,guitar,U:\Documents\DCC\exp4\Stimuli\Objects\guitar\AELCGUI10-removebg-preview.png,216
Objects,guitar,U:\Documents\DCC\exp4\Stimuli\Objects\guitar\AELCGUI12-removebg-preview.png,216
Objects,guitar,U:\Documents\DCC\exp4\Stimuli\Objects\guitar\AELCGUI13-removebg-preview.png,216
Objects,guitar,U:\Documents\DCC\exp4\Stimuli\Objects\guitar\AELCGUI14-removebg-preview.png,216
Objects,guitar,U:\Documents\DCC\exp4\Stimuli\Objects\guitar\AELCGUI7-removebg-preview.png,216
Objects,guitar,U:\Documents\DCC\exp4\Stimuli\Objects\guitar\AELCGUITA-removebg-preview.png,216
Objects,guitar,U:\Documents\DCC\exp4\Stimuli\Objects\guitar\AELECGU15-removebg-preview.png,216
Objects,guitar,U:\Documents\DCC\exp4\Stimuli\Objects\guitar\AELECGUI5-removebg-preview.png,216
Objects,guitar,U:\Documents\DCC\exp4\Stimuli\Objects\guitar\Aguitar78-removebg-preview.png,216
Objects,guitar,U:\Documents\DCC\exp4\Stimuli\Objects\guitar\Classical_Guitar-removebg-preview.png,216
Objects,guitar,U:\Documents\DCC\exp4\Stimuli\Objects\guitar\epiphone-jack-casady-electric-rock-bass-guitar-removebg-preview.png,216
Objects,guitar,U:\Documents\DCC\exp4\Stimuli\Objects\guitar\guitar-sign-rock-n-roll-removebg-preview.png,216
Objects,guitar,U:\Documents\DCC\exp4\Stimuli\Objects\guitar\iaxe_usb_guitar-removebg-preview.png,216
