cate,subCate,stimulus,mkCate
Objects,hairbrush,U:\Documents\DCC\exp4\Stimuli\Objects\hairbrush\300-removebg-preview.png,217
Objects,hairbrush,U:\Documents\DCC\exp4\Stimuli\Objects\hairbrush\Ahairbrush18-removebg-preview.png,217
Objects,hairbrush,U:\Documents\DCC\exp4\Stimuli\Objects\hairbrush\Ahairbrush9-removebg-preview.png,217
Objects,hairbrush,U:\Documents\DCC\exp4\Stimuli\Objects\hairbrush\B0006BKG7U.01-A1NDBS7YGOPBD6._SCLZZZZZZZ_SS500_-removebg-preview.png,217
Objects,hairbrush,U:\Documents\DCC\exp4\Stimuli\Objects\hairbrush\B000A7Y1X0.01-A3MUP0TQW88EYV._SCLZZZZZZZ_V23462953_SS500_-removebg-preview.png,217
Objects,hairbrush,U:\Documents\DCC\exp4\Stimuli\Objects\hairbrush\B000A8045S.01-A3MUP0TQW88EYV._SCLZZZZZZZ_V23466783_SS500_-removebg-preview.png,217
Objects,hairbrush,U:\Documents\DCC\exp4\Stimuli\Objects\hairbrush\Hairbrush-removebg-preview.png,217
Objects,hairbrush,U:\Documents\DCC\exp4\Stimuli\Objects\hairbrush\hairbrush12-removebg-preview.png,217
Objects,hairbrush,U:\Documents\DCC\exp4\Stimuli\Objects\hairbrush\hairbrush14-removebg-preview.png,217
Objects,hairbrush,U:\Documents\DCC\exp4\Stimuli\Objects\hairbrush\hairbrush15-removebg-preview.png,217
Objects,hairbrush,U:\Documents\DCC\exp4\Stimuli\Objects\hairbrush\hairbrush17-removebg-preview.png,217
Objects,hairbrush,U:\Documents\DCC\exp4\Stimuli\Objects\hairbrush\hairbrush24-removebg-preview.png,217
Objects,hairbrush,U:\Documents\DCC\exp4\Stimuli\Objects\hairbrush\hairbrush30-removebg-preview.png,217
Objects,hairbrush,U:\Documents\DCC\exp4\Stimuli\Objects\hairbrush\hairbrush34-removebg-preview.png,217
Objects,hairbrush,U:\Documents\DCC\exp4\Stimuli\Objects\hairbrush\hairbrush47-removebg-preview.png,217
Objects,hairbrush,U:\Documents\DCC\exp4\Stimuli\Objects\hairbrush\hairbrush7-removebg-preview.png,217
Objects,hairbrush,U:\Documents\DCC\exp4\Stimuli\Objects\hairbrush\serenity2000-canada_1903_2658146-removebg-preview.png,217
