cate,subCate,stimulus,mkCate
Objects,handbag,U:\Documents\DCC\exp4\Stimuli\Objects\handbag\Ahandbag13-removebg-preview.png,218
Objects,handbag,U:\Documents\DCC\exp4\Stimuli\Objects\handbag\Ahandbag15-removebg-preview.png,218
Objects,handbag,U:\Documents\DCC\exp4\Stimuli\Objects\handbag\Ahandbag31-removebg-preview.png,218
Objects,handbag,U:\Documents\DCC\exp4\Stimuli\Objects\handbag\Ahandbag38-removebg-preview.png,218
Objects,handbag,U:\Documents\DCC\exp4\Stimuli\Objects\handbag\Ahandbag51-removebg-preview.png,218
Objects,handbag,U:\Documents\DCC\exp4\Stimuli\Objects\handbag\AHANDBAG6-removebg-preview.png,218
Objects,handbag,U:\Documents\DCC\exp4\Stimuli\Objects\handbag\Ahandbag69-removebg-preview.png,218
Objects,handbag,U:\Documents\DCC\exp4\Stimuli\Objects\handbag\AHANDBAG7-removebg-preview.png,218
Objects,handbag,U:\Documents\DCC\exp4\Stimuli\Objects\handbag\Ahandbag74-removebg-preview.png,218
Objects,handbag,U:\Documents\DCC\exp4\Stimuli\Objects\handbag\AHANDBAG9-removebg-preview.png,218
Objects,handbag,U:\Documents\DCC\exp4\Stimuli\Objects\handbag\APURSE24-removebg-preview.png,218
Objects,handbag,U:\Documents\DCC\exp4\Stimuli\Objects\handbag\APURSE46-removebg-preview.png,218
Objects,handbag,U:\Documents\DCC\exp4\Stimuli\Objects\handbag\APURSE52-removebg-preview.png,218
Objects,handbag,U:\Documents\DCC\exp4\Stimuli\Objects\handbag\APURSE59-removebg-preview.png,218
Objects,handbag,U:\Documents\DCC\exp4\Stimuli\Objects\handbag\chicken-purse-removebg-preview.png,218
Objects,handbag,U:\Documents\DCC\exp4\Stimuli\Objects\handbag\purses-removebg-preview.png,218
Objects,handbag,U:\Documents\DCC\exp4\Stimuli\Objects\handbag\stingray-leather-hobo-handbag-1-removebg-preview.png,218
