cate,subCate,stimulus,mkCate
Objects,hat,U:\Documents\DCC\exp4\Stimuli\Objects\hat\ABLUEHAT-removebg-preview.png,219
Objects,hat,U:\Documents\DCC\exp4\Stimuli\Objects\hat\Acasualhat5-removebg-preview.png,219
Objects,hat,U:\Documents\DCC\exp4\Stimuli\Objects\hat\AFELTHAT-removebg-preview.png,219
Objects,hat,U:\Documents\DCC\exp4\Stimuli\Objects\hat\AFISHHAT2-removebg-preview.png,219
Objects,hat,U:\Documents\DCC\exp4\Stimuli\Objects\hat\Aformalhat5-removebg-preview.png,219
Objects,hat,U:\Documents\DCC\exp4\Stimuli\Objects\hat\AGREENHAT-removebg-preview.png,219
Objects,hat,U:\Documents\DCC\exp4\Stimuli\Objects\hat\Ahat136-removebg-preview.png,219
Objects,hat,U:\Documents\DCC\exp4\Stimuli\Objects\hat\Ahatwithfeat7-removebg-preview.png,219
Objects,hat,U:\Documents\DCC\exp4\Stimuli\Objects\hat\Ahatwithfeath-removebg-preview.png,219
Objects,hat,U:\Documents\DCC\exp4\Stimuli\Objects\hat\Apanamahat2-removebg-preview.png,219
Objects,hat,U:\Documents\DCC\exp4\Stimuli\Objects\hat\AREDHAT4-removebg-preview.png,219
Objects,hat,U:\Documents\DCC\exp4\Stimuli\Objects\hat\Astrawhat44-removebg-preview.png,219
Objects,hat,U:\Documents\DCC\exp4\Stimuli\Objects\hat\Astrawhat49-removebg-preview.png,219
Objects,hat,U:\Documents\DCC\exp4\Stimuli\Objects\hat\ASTRHATFL-removebg-preview.png,219
Objects,hat,U:\Documents\DCC\exp4\Stimuli\Objects\hat\Atornhat3-removebg-preview.png,219
Objects,hat,U:\Documents\DCC\exp4\Stimuli\Objects\hat\AYELLHAT-removebg-preview.png,219
Objects,hat,U:\Documents\DCC\exp4\Stimuli\Objects\hat\JS370-removebg-preview.png,219
