cate,subCate,stimulus,mkCate
Animals,hoofed,U:\Documents\DCC\exp4\Stimuli\Animals\hoofed\hoofed_01-removebg-preview.png,30
Animals,hoofed,U:\Documents\DCC\exp4\Stimuli\Animals\hoofed\hoofed_02-removebg-preview.png,30
Animals,hoofed,U:\Documents\DCC\exp4\Stimuli\Animals\hoofed\hoofed_03-removebg-preview.png,30
Animals,hoofed,U:\Documents\DCC\exp4\Stimuli\Animals\hoofed\hoofed_04-removebg-preview.png,30
Animals,hoofed,U:\Documents\DCC\exp4\Stimuli\Animals\hoofed\hoofed_05-removebg-preview.png,30
Animals,hoofed,U:\Documents\DCC\exp4\Stimuli\Animals\hoofed\hoofed_06-removebg-preview.png,30
Animals,hoofed,U:\Documents\DCC\exp4\Stimuli\Animals\hoofed\hoofed_07-removebg-preview.png,30
Animals,hoofed,U:\Documents\DCC\exp4\Stimuli\Animals\hoofed\hoofed_08-removebg-preview.png,30
Animals,hoofed,U:\Documents\DCC\exp4\Stimuli\Animals\hoofed\hoofed_09-removebg-preview.png,30
Animals,hoofed,U:\Documents\DCC\exp4\Stimuli\Animals\hoofed\hoofed_10-removebg-preview.png,30
Animals,hoofed,U:\Documents\DCC\exp4\Stimuli\Animals\hoofed\hoofed_11-removebg-preview.png,30
Animals,hoofed,U:\Documents\DCC\exp4\Stimuli\Animals\hoofed\hoofed_12-removebg-preview.png,30
Animals,hoofed,U:\Documents\DCC\exp4\Stimuli\Animals\hoofed\hoofed_13-removebg-preview.png,30
Animals,hoofed,U:\Documents\DCC\exp4\Stimuli\Animals\hoofed\hoofed_14-removebg-preview.png,30
Animals,hoofed,U:\Documents\DCC\exp4\Stimuli\Animals\hoofed\hoofed_15-removebg-preview.png,30
Animals,hoofed,U:\Documents\DCC\exp4\Stimuli\Animals\hoofed\hoofed_16-removebg-preview.png,30
Animals,hoofed,U:\Documents\DCC\exp4\Stimuli\Animals\hoofed\hoofed_17-removebg-preview.png,30
