cate,subCate,stimulus,mkCate
Animals,horse,U:\Documents\DCC\exp4\Stimuli\Animals\horse\horse_01-removebg-preview.png,33
Animals,horse,U:\Documents\DCC\exp4\Stimuli\Animals\horse\horse_02-removebg-preview.png,33
Animals,horse,U:\Documents\DCC\exp4\Stimuli\Animals\horse\horse_03-removebg-preview.png,33
Animals,horse,U:\Documents\DCC\exp4\Stimuli\Animals\horse\horse_04-removebg-preview.png,33
Animals,horse,U:\Documents\DCC\exp4\Stimuli\Animals\horse\horse_05-removebg-preview.png,33
Animals,horse,U:\Documents\DCC\exp4\Stimuli\Animals\horse\horse_06-removebg-preview.png,33
Animals,horse,U:\Documents\DCC\exp4\Stimuli\Animals\horse\horse_07-removebg-preview.png,33
Animals,horse,U:\Documents\DCC\exp4\Stimuli\Animals\horse\horse_08-removebg-preview.png,33
Animals,horse,U:\Documents\DCC\exp4\Stimuli\Animals\horse\horse_09-removebg-preview.png,33
Animals,horse,U:\Documents\DCC\exp4\Stimuli\Animals\horse\horse_10-removebg-preview.png,33
Animals,horse,U:\Documents\DCC\exp4\Stimuli\Animals\horse\horse_11-removebg-preview.png,33
Animals,horse,U:\Documents\DCC\exp4\Stimuli\Animals\horse\horse_12-removebg-preview.png,33
Animals,horse,U:\Documents\DCC\exp4\Stimuli\Animals\horse\horse_13-removebg-preview.png,33
Animals,horse,U:\Documents\DCC\exp4\Stimuli\Animals\horse\horse_14-removebg-preview.png,33
Animals,horse,U:\Documents\DCC\exp4\Stimuli\Animals\horse\horse_15-removebg-preview.png,33
Animals,horse,U:\Documents\DCC\exp4\Stimuli\Animals\horse\horse_16-removebg-preview.png,33
Animals,horse,U:\Documents\DCC\exp4\Stimuli\Animals\horse\horse_17-removebg-preview.png,33
