cate,subCate,stimulus,mkCate
Animals,insect,U:\Documents\DCC\exp4\Stimuli\Animals\insect\insect_01-removebg-preview.png,35
Animals,insect,U:\Documents\DCC\exp4\Stimuli\Animals\insect\insect_02-removebg-preview.png,35
Animals,insect,U:\Documents\DCC\exp4\Stimuli\Animals\insect\insect_03-removebg-preview.png,35
Animals,insect,U:\Documents\DCC\exp4\Stimuli\Animals\insect\insect_04-removebg-preview.png,35
Animals,insect,U:\Documents\DCC\exp4\Stimuli\Animals\insect\insect_05-removebg-preview.png,35
Animals,insect,U:\Documents\DCC\exp4\Stimuli\Animals\insect\insect_06-removebg-preview.png,35
Animals,insect,U:\Documents\DCC\exp4\Stimuli\Animals\insect\insect_07-removebg-preview.png,35
Animals,insect,U:\Documents\DCC\exp4\Stimuli\Animals\insect\insect_08-removebg-preview.png,35
Animals,insect,U:\Documents\DCC\exp4\Stimuli\Animals\insect\insect_09-removebg-preview.png,35
Animals,insect,U:\Documents\DCC\exp4\Stimuli\Animals\insect\insect_10-removebg-preview.png,35
Animals,insect,U:\Documents\DCC\exp4\Stimuli\Animals\insect\insect_11-removebg-preview.png,35
Animals,insect,U:\Documents\DCC\exp4\Stimuli\Animals\insect\insect_12-removebg-preview.png,35
Animals,insect,U:\Documents\DCC\exp4\Stimuli\Animals\insect\insect_13-removebg-preview.png,35
Animals,insect,U:\Documents\DCC\exp4\Stimuli\Animals\insect\insect_14-removebg-preview.png,35
Animals,insect,U:\Documents\DCC\exp4\Stimuli\Animals\insect\insect_15-removebg-preview.png,35
Animals,insect,U:\Documents\DCC\exp4\Stimuli\Animals\insect\insect_16-removebg-preview.png,35
Animals,insect,U:\Documents\DCC\exp4\Stimuli\Animals\insect\insect_17-removebg-preview.png,35
