cate,subCate,stimulus,mkCate
Objects,kayak,U:\Documents\DCC\exp4\Stimuli\Objects\kayak\22807718.thl-removebg-preview.png,220
Objects,kayak,U:\Documents\DCC\exp4\Stimuli\Objects\kayak\96610_09-removebg-preview.png,220
Objects,kayak,U:\Documents\DCC\exp4\Stimuli\Objects\kayak\Akayak-removebg-preview.png,220
Objects,kayak,U:\Documents\DCC\exp4\Stimuli\Objects\kayak\Breeze_kayak_2-removebg-preview.png,220
Objects,kayak,U:\Documents\DCC\exp4\Stimuli\Objects\kayak\KAYAK-removebg-preview.png,220
Objects,kayak,U:\Documents\DCC\exp4\Stimuli\Objects\kayak\kayak_complet_1-removebg-preview.png,220
Objects,kayak,U:\Documents\DCC\exp4\Stimuli\Objects\kayak\kayak_complet_10-removebg-preview.png,220
Objects,kayak,U:\Documents\DCC\exp4\Stimuli\Objects\kayak\kayak_complet_11-removebg-preview.png,220
Objects,kayak,U:\Documents\DCC\exp4\Stimuli\Objects\kayak\kayak_complet_12-removebg-preview.png,220
Objects,kayak,U:\Documents\DCC\exp4\Stimuli\Objects\kayak\kayak_complet_19-removebg-preview.png,220
Objects,kayak,U:\Documents\DCC\exp4\Stimuli\Objects\kayak\kayak_complet_2-removebg-preview.png,220
Objects,kayak,U:\Documents\DCC\exp4\Stimuli\Objects\kayak\kayak_complet_20-removebg-preview.png,220
Objects,kayak,U:\Documents\DCC\exp4\Stimuli\Objects\kayak\kayak_complet_4-removebg-preview.png,220
Objects,kayak,U:\Documents\DCC\exp4\Stimuli\Objects\kayak\L49992_Pink-removebg-preview.png,220
Objects,kayak,U:\Documents\DCC\exp4\Stimuli\Objects\kayak\p3203626dt-removebg-preview.png,220
Objects,kayak,U:\Documents\DCC\exp4\Stimuli\Objects\kayak\stearns-pivot-ww-400-removebg-preview.png,220
Objects,kayak,U:\Documents\DCC\exp4\Stimuli\Objects\kayak\SternsSelfbailinginflatablekayak-removebg-preview.png,220
