cate,subCate,stimulus,mkCate
Objects,lamp,U:\Documents\DCC\exp4\Stimuli\Objects\lamp\Adesklamp25-removebg-preview.png,221
Objects,lamp,U:\Documents\DCC\exp4\Stimuli\Objects\lamp\Adesklamp34-removebg-preview.png,221
Objects,lamp,U:\Documents\DCC\exp4\Stimuli\Objects\lamp\Alamp102-removebg-preview.png,221
Objects,lamp,U:\Documents\DCC\exp4\Stimuli\Objects\lamp\Alamp109-removebg-preview.png,221
Objects,lamp,U:\Documents\DCC\exp4\Stimuli\Objects\lamp\Alamp155-removebg-preview.png,221
Objects,lamp,U:\Documents\DCC\exp4\Stimuli\Objects\lamp\ALAMP16-removebg-preview.png,221
Objects,lamp,U:\Documents\DCC\exp4\Stimuli\Objects\lamp\ALAMP19-removebg-preview.png,221
Objects,lamp,U:\Documents\DCC\exp4\Stimuli\Objects\lamp\ALAMP31-removebg-preview.png,221
Objects,lamp,U:\Documents\DCC\exp4\Stimuli\Objects\lamp\ALAMP34-removebg-preview.png,221
Objects,lamp,U:\Documents\DCC\exp4\Stimuli\Objects\lamp\ALAMP37-removebg-preview.png,221
Objects,lamp,U:\Documents\DCC\exp4\Stimuli\Objects\lamp\ALAMP38-removebg-preview.png,221
Objects,lamp,U:\Documents\DCC\exp4\Stimuli\Objects\lamp\Alamp96-removebg-preview.png,221
Objects,lamp,U:\Documents\DCC\exp4\Stimuli\Objects\lamp\Alamplightf10-removebg-preview.png,221
Objects,lamp,U:\Documents\DCC\exp4\Stimuli\Objects\lamp\ATABLAMP4-removebg-preview.png,221
Objects,lamp,U:\Documents\DCC\exp4\Stimuli\Objects\lamp\ATABLAMP6-removebg-preview.png,221
Objects,lamp,U:\Documents\DCC\exp4\Stimuli\Objects\lamp\ATABLELA4-removebg-preview.png,221
Objects,lamp,U:\Documents\DCC\exp4\Stimuli\Objects\lamp\BH.12.06.Princeman.lamp-removebg-preview.png,221
