cate,subCate,stimulus,mkCate
Objects,makeupcompact,U:\Documents\DCC\exp4\Stimuli\Objects\makeupcompact\05086681402-removebg-preview.png,222
Objects,makeupcompact,U:\Documents\DCC\exp4\Stimuli\Objects\makeupcompact\262597_fpx-removebg-preview.png,222
Objects,makeupcompact,U:\Documents\DCC\exp4\Stimuli\Objects\makeupcompact\262668_fpx-removebg-preview.png,222
Objects,makeupcompact,U:\Documents\DCC\exp4\Stimuli\Objects\makeupcompact\31SC4G8FDJL._AA280_-removebg-preview.png,222
Objects,makeupcompact,U:\Documents\DCC\exp4\Stimuli\Objects\makeupcompact\31YfapjS3TL._AA250_-removebg-preview.png,222
Objects,makeupcompact,U:\Documents\DCC\exp4\Stimuli\Objects\makeupcompact\b_102019-removebg-preview.png,222
Objects,makeupcompact,U:\Documents\DCC\exp4\Stimuli\Objects\makeupcompact\b_y10133-removebg-preview.png,222
Objects,makeupcompact,U:\Documents\DCC\exp4\Stimuli\Objects\makeupcompact\P0754_hero-removebg-preview.png,222
Objects,makeupcompact,U:\Documents\DCC\exp4\Stimuli\Objects\makeupcompact\P109965_hero-removebg-preview.png,222
Objects,makeupcompact,U:\Documents\DCC\exp4\Stimuli\Objects\makeupcompact\P139103_hero-removebg-preview.png,222
Objects,makeupcompact,U:\Documents\DCC\exp4\Stimuli\Objects\makeupcompact\P181006_hero-removebg-preview.png,222
Objects,makeupcompact,U:\Documents\DCC\exp4\Stimuli\Objects\makeupcompact\P183922_hero-removebg-preview.png,222
Objects,makeupcompact,U:\Documents\DCC\exp4\Stimuli\Objects\makeupcompact\P187133_hero-removebg-preview.png,222
Objects,makeupcompact,U:\Documents\DCC\exp4\Stimuli\Objects\makeupcompact\P189207_hero-removebg-preview.png,222
Objects,makeupcompact,U:\Documents\DCC\exp4\Stimuli\Objects\makeupcompact\P190250_hero-removebg-preview.png,222
Objects,makeupcompact,U:\Documents\DCC\exp4\Stimuli\Objects\makeupcompact\P190255_hero-removebg-preview.png,222
Objects,makeupcompact,U:\Documents\DCC\exp4\Stimuli\Objects\makeupcompact\P95108_hero-removebg-preview.png,222
