cate,subCate,stimulus,mkCate
Animals,marine,U:\Documents\DCC\exp4\Stimuli\Animals\marine\marine_01-removebg-preview.png,36
Animals,marine,U:\Documents\DCC\exp4\Stimuli\Animals\marine\marine_02-removebg-preview.png,36
Animals,marine,U:\Documents\DCC\exp4\Stimuli\Animals\marine\marine_03-removebg-preview.png,36
Animals,marine,U:\Documents\DCC\exp4\Stimuli\Animals\marine\marine_04-removebg-preview.png,36
Animals,marine,U:\Documents\DCC\exp4\Stimuli\Animals\marine\marine_05-removebg-preview.png,36
Animals,marine,U:\Documents\DCC\exp4\Stimuli\Animals\marine\marine_06-removebg-preview.png,36
Animals,marine,U:\Documents\DCC\exp4\Stimuli\Animals\marine\marine_07-removebg-preview.png,36
Animals,marine,U:\Documents\DCC\exp4\Stimuli\Animals\marine\marine_08-removebg-preview.png,36
Animals,marine,U:\Documents\DCC\exp4\Stimuli\Animals\marine\marine_09-removebg-preview.png,36
Animals,marine,U:\Documents\DCC\exp4\Stimuli\Animals\marine\marine_10-removebg-preview.png,36
Animals,marine,U:\Documents\DCC\exp4\Stimuli\Animals\marine\marine_11-removebg-preview.png,36
Animals,marine,U:\Documents\DCC\exp4\Stimuli\Animals\marine\marine_12-removebg-preview.png,36
Animals,marine,U:\Documents\DCC\exp4\Stimuli\Animals\marine\marine_13-removebg-preview.png,36
Animals,marine,U:\Documents\DCC\exp4\Stimuli\Animals\marine\marine_14-removebg-preview.png,36
Animals,marine,U:\Documents\DCC\exp4\Stimuli\Animals\marine\marine_15-removebg-preview.png,36
Animals,marine,U:\Documents\DCC\exp4\Stimuli\Animals\marine\marine_16-removebg-preview.png,36
Animals,marine,U:\Documents\DCC\exp4\Stimuli\Animals\marine\marine_17-removebg-preview.png,36
