cate,subCate,stimulus,mkCate
Animals,marsupialia_australia,U:\Documents\DCC\exp4\Stimuli\Animals\marsupialia_australia\1111.png,37
Animals,marsupialia_australia,U:\Documents\DCC\exp4\Stimuli\Animals\marsupialia_australia\marsupialia_01-removebg-preview.png,37
Animals,marsupialia_australia,U:\Documents\DCC\exp4\Stimuli\Animals\marsupialia_australia\marsupialia_02-removebg-preview.png,37
Animals,marsupialia_australia,U:\Documents\DCC\exp4\Stimuli\Animals\marsupialia_australia\marsupialia_03-removebg-preview.png,37
Animals,marsupialia_australia,U:\Documents\DCC\exp4\Stimuli\Animals\marsupialia_australia\marsupialia_04-removebg-preview.png,37
Animals,marsupialia_australia,U:\Documents\DCC\exp4\Stimuli\Animals\marsupialia_australia\marsupialia_05-removebg-preview.png,37
Animals,marsupialia_australia,U:\Documents\DCC\exp4\Stimuli\Animals\marsupialia_australia\marsupialia_06-removebg-preview.png,37
Animals,marsupialia_australia,U:\Documents\DCC\exp4\Stimuli\Animals\marsupialia_australia\marsupialia_07-removebg-preview.png,37
Animals,marsupialia_australia,U:\Documents\DCC\exp4\Stimuli\Animals\marsupialia_australia\marsupialia_08-removebg-preview.png,37
Animals,marsupialia_australia,U:\Documents\DCC\exp4\Stimuli\Animals\marsupialia_australia\marsupialia_09-removebg-preview.png,37
Animals,marsupialia_australia,U:\Documents\DCC\exp4\Stimuli\Animals\marsupialia_australia\marsupialia_10-removebg-preview.png,37
Animals,marsupialia_australia,U:\Documents\DCC\exp4\Stimuli\Animals\marsupialia_australia\marsupialia_11-removebg-preview.png,37
Animals,marsupialia_australia,U:\Documents\DCC\exp4\Stimuli\Animals\marsupialia_australia\marsupialia_12-removebg-preview.png,37
Animals,marsupialia_australia,U:\Documents\DCC\exp4\Stimuli\Animals\marsupialia_australia\marsupialia_13-removebg-preview.png,37
Animals,marsupialia_australia,U:\Documents\DCC\exp4\Stimuli\Animals\marsupialia_australia\marsupialia_14-removebg-preview.png,37
Animals,marsupialia_australia,U:\Documents\DCC\exp4\Stimuli\Animals\marsupialia_australia\marsupialia_15-removebg-preview.png,37
Animals,marsupialia_australia,U:\Documents\DCC\exp4\Stimuli\Animals\marsupialia_australia\marsupialia_17-removebg-preview.png,37
