cate,subCate,stimulus,mkCate
Objects,mp3player,U:\Documents\DCC\exp4\Stimuli\Objects\mp3player\230222152-removebg-preview.png,223
Objects,mp3player,U:\Documents\DCC\exp4\Stimuli\Objects\mp3player\300_sandisk1_0-removebg-preview.png,223
Objects,mp3player,U:\Documents\DCC\exp4\Stimuli\Objects\mp3player\41Y44C5D8ZL._AA280_-removebg-preview.png,223
Objects,mp3player,U:\Documents\DCC\exp4\Stimuli\Objects\mp3player\5621_1fgr.png,223
Objects,mp3player,U:\Documents\DCC\exp4\Stimuli\Objects\mp3player\b130056-removebg-preview.png,223
Objects,mp3player,U:\Documents\DCC\exp4\Stimuli\Objects\mp3player\cle-USB-baladeur-MP3-KXB-256-removebg-preview.png,223
Objects,mp3player,U:\Documents\DCC\exp4\Stimuli\Objects\mp3player\dap-red-earbuds-removebg-preview.png,223
Objects,mp3player,U:\Documents\DCC\exp4\Stimuli\Objects\mp3player\Elta_8852MP3A_big-removebg-preview.png,223
Objects,mp3player,U:\Documents\DCC\exp4\Stimuli\Objects\mp3player\ipod-mini-removebg-preview.png,223
Objects,mp3player,U:\Documents\DCC\exp4\Stimuli\Objects\mp3player\ipodshuffle_front-removebg-preview.png,223
Objects,mp3player,U:\Documents\DCC\exp4\Stimuli\Objects\mp3player\iriver-s10.png,223
Objects,mp3player,U:\Documents\DCC\exp4\Stimuli\Objects\mp3player\mp3-removebg-preview.png,223
Objects,mp3player,U:\Documents\DCC\exp4\Stimuli\Objects\mp3player\mp3philips-removebg-preview.png,223
Objects,mp3player,U:\Documents\DCC\exp4\Stimuli\Objects\mp3player\mp3player03-removebg-preview.png,223
Objects,mp3player,U:\Documents\DCC\exp4\Stimuli\Objects\mp3player\MP3_Player-removebg-preview.png,223
Objects,mp3player,U:\Documents\DCC\exp4\Stimuli\Objects\mp3player\sandisk_sansa_m240_digital_audio_mp3_player-750479-removebg-preview.png,223
Objects,mp3player,U:\Documents\DCC\exp4\Stimuli\Objects\mp3player\sony-core-mp3-player-removebg-preview.png,223
