cate,subCate,stimulus,mkCate
Animals,mustelidae,U:\Documents\DCC\exp4\Stimuli\Animals\mustelidae\mustelidae_01-removebg-preview.png,39
Animals,mustelidae,U:\Documents\DCC\exp4\Stimuli\Animals\mustelidae\mustelidae_02-removebg-preview.png,39
Animals,mustelidae,U:\Documents\DCC\exp4\Stimuli\Animals\mustelidae\mustelidae_03-removebg-preview.png,39
Animals,mustelidae,U:\Documents\DCC\exp4\Stimuli\Animals\mustelidae\mustelidae_04-removebg-preview.png,39
Animals,mustelidae,U:\Documents\DCC\exp4\Stimuli\Animals\mustelidae\mustelidae_05-removebg-preview.png,39
Animals,mustelidae,U:\Documents\DCC\exp4\Stimuli\Animals\mustelidae\mustelidae_06-removebg-preview.png,39
Animals,mustelidae,U:\Documents\DCC\exp4\Stimuli\Animals\mustelidae\mustelidae_07-removebg-preview.png,39
Animals,mustelidae,U:\Documents\DCC\exp4\Stimuli\Animals\mustelidae\mustelidae_08-removebg-preview.png,39
Animals,mustelidae,U:\Documents\DCC\exp4\Stimuli\Animals\mustelidae\mustelidae_09-removebg-preview.png,39
Animals,mustelidae,U:\Documents\DCC\exp4\Stimuli\Animals\mustelidae\mustelidae_10-removebg-preview.png,39
Animals,mustelidae,U:\Documents\DCC\exp4\Stimuli\Animals\mustelidae\mustelidae_11-removebg-preview.png,39
Animals,mustelidae,U:\Documents\DCC\exp4\Stimuli\Animals\mustelidae\mustelidae_12-removebg-preview.png,39
Animals,mustelidae,U:\Documents\DCC\exp4\Stimuli\Animals\mustelidae\mustelidae_13-removebg-preview.png,39
Animals,mustelidae,U:\Documents\DCC\exp4\Stimuli\Animals\mustelidae\mustelidae_14-removebg-preview.png,39
Animals,mustelidae,U:\Documents\DCC\exp4\Stimuli\Animals\mustelidae\mustelidae_15-removebg-preview.png,39
Animals,mustelidae,U:\Documents\DCC\exp4\Stimuli\Animals\mustelidae\mustelidae_16-removebg-preview.png,39
Animals,mustelidae,U:\Documents\DCC\exp4\Stimuli\Animals\mustelidae\mustelidae_17-removebg-preview.png,39
