cate,subCate,stimulus,mkCate
Animals,panthera,U:\Documents\DCC\exp4\Stimuli\Animals\panthera\panthera_01-removebg-preview.png,40
Animals,panthera,U:\Documents\DCC\exp4\Stimuli\Animals\panthera\panthera_02-removebg-preview.png,40
Animals,panthera,U:\Documents\DCC\exp4\Stimuli\Animals\panthera\panthera_03-removebg-preview.png,40
Animals,panthera,U:\Documents\DCC\exp4\Stimuli\Animals\panthera\panthera_04-removebg-preview.png,40
Animals,panthera,U:\Documents\DCC\exp4\Stimuli\Animals\panthera\panthera_05-removebg-preview.png,40
Animals,panthera,U:\Documents\DCC\exp4\Stimuli\Animals\panthera\panthera_06-removebg-preview.png,40
Animals,panthera,U:\Documents\DCC\exp4\Stimuli\Animals\panthera\panthera_07-removebg-preview.png,40
Animals,panthera,U:\Documents\DCC\exp4\Stimuli\Animals\panthera\panthera_08-removebg-preview.png,40
Animals,panthera,U:\Documents\DCC\exp4\Stimuli\Animals\panthera\panthera_09-removebg-preview.png,40
Animals,panthera,U:\Documents\DCC\exp4\Stimuli\Animals\panthera\panthera_10-removebg-preview.png,40
Animals,panthera,U:\Documents\DCC\exp4\Stimuli\Animals\panthera\panthera_11-removebg-preview.png,40
Animals,panthera,U:\Documents\DCC\exp4\Stimuli\Animals\panthera\panthera_12-removebg-preview.png,40
Animals,panthera,U:\Documents\DCC\exp4\Stimuli\Animals\panthera\panthera_13-removebg-preview.png,40
Animals,panthera,U:\Documents\DCC\exp4\Stimuli\Animals\panthera\panthera_14-removebg-preview.png,40
Animals,panthera,U:\Documents\DCC\exp4\Stimuli\Animals\panthera\panthera_15-removebg-preview.png,40
Animals,panthera,U:\Documents\DCC\exp4\Stimuli\Animals\panthera\panthera_16-removebg-preview.png,40
Animals,panthera,U:\Documents\DCC\exp4\Stimuli\Animals\panthera\panthera_17-removebg-preview.png,40
