cate,subCate,stimulus,mkCate
Objects,phone,U:\Documents\DCC\exp4\Stimuli\Objects\phone\22831140.thl-removebg-preview.png,224
Objects,phone,U:\Documents\DCC\exp4\Stimuli\Objects\phone\26377681.thl-removebg-preview.png,224
Objects,phone,U:\Documents\DCC\exp4\Stimuli\Objects\phone\26377754.thl-removebg-preview.png,224
Objects,phone,U:\Documents\DCC\exp4\Stimuli\Objects\phone\26378271.thl-removebg-preview.png,224
Objects,phone,U:\Documents\DCC\exp4\Stimuli\Objects\phone\26378886.thl-removebg-preview.png,224
Objects,phone,U:\Documents\DCC\exp4\Stimuli\Objects\phone\26379320.thl-removebg-preview.png,224
Objects,phone,U:\Documents\DCC\exp4\Stimuli\Objects\phone\26379340.thl-removebg-preview.png,224
Objects,phone,U:\Documents\DCC\exp4\Stimuli\Objects\phone\26379359.thl-removebg-preview.png,224
Objects,phone,U:\Documents\DCC\exp4\Stimuli\Objects\phone\26379371.thl-removebg-preview.png,224
Objects,phone,U:\Documents\DCC\exp4\Stimuli\Objects\phone\26442658.thl-removebg-preview.png,224
Objects,phone,U:\Documents\DCC\exp4\Stimuli\Objects\phone\8047915.thl-removebg-preview.png,224
Objects,phone,U:\Documents\DCC\exp4\Stimuli\Objects\phone\8081131.thl-removebg-preview.png,224
Objects,phone,U:\Documents\DCC\exp4\Stimuli\Objects\phone\ABLUPHONE-removebg-preview.png,224
Objects,phone,U:\Documents\DCC\exp4\Stimuli\Objects\phone\AFAXPHON6-removebg-preview.png,224
Objects,phone,U:\Documents\DCC\exp4\Stimuli\Objects\phone\AOFFPHON3-removebg-preview.png,224
Objects,phone,U:\Documents\DCC\exp4\Stimuli\Objects\phone\Atelephone2-removebg-preview.png,224
Objects,phone,U:\Documents\DCC\exp4\Stimuli\Objects\phone\Atelephone4-removebg-preview.png,224
