cate,subCate,stimulus,mkCate
Objects,pitcher,U:\Documents\DCC\exp4\Stimuli\Objects\pitcher\APITCHER-removebg-preview.png,225
Objects,pitcher,U:\Documents\DCC\exp4\Stimuli\Objects\pitcher\Apitcher10-removebg-preview.png,225
Objects,pitcher,U:\Documents\DCC\exp4\Stimuli\Objects\pitcher\Apitcher12-removebg-preview.png,225
Objects,pitcher,U:\Documents\DCC\exp4\Stimuli\Objects\pitcher\Apitcher18-removebg-preview.png,225
Objects,pitcher,U:\Documents\DCC\exp4\Stimuli\Objects\pitcher\Apitcher19-removebg-preview.png,225
Objects,pitcher,U:\Documents\DCC\exp4\Stimuli\Objects\pitcher\Apitcher25-removebg-preview.png,225
Objects,pitcher,U:\Documents\DCC\exp4\Stimuli\Objects\pitcher\Apitcher29-removebg-preview.png,225
Objects,pitcher,U:\Documents\DCC\exp4\Stimuli\Objects\pitcher\Apitcher46-removebg-preview.png,225
Objects,pitcher,U:\Documents\DCC\exp4\Stimuli\Objects\pitcher\Apitcher54-removebg-preview.png,225
Objects,pitcher,U:\Documents\DCC\exp4\Stimuli\Objects\pitcher\Apitcher57-removebg-preview.png,225
Objects,pitcher,U:\Documents\DCC\exp4\Stimuli\Objects\pitcher\APITCHER6-removebg-preview.png,225
Objects,pitcher,U:\Documents\DCC\exp4\Stimuli\Objects\pitcher\Apitcher66-removebg-preview.png,225
Objects,pitcher,U:\Documents\DCC\exp4\Stimuli\Objects\pitcher\APITCHER8-removebg-preview.png,225
Objects,pitcher,U:\Documents\DCC\exp4\Stimuli\Objects\pitcher\Awaterpitcher-removebg-preview.png,225
Objects,pitcher,U:\Documents\DCC\exp4\Stimuli\Objects\pitcher\BH_lg_iced_pitcher-removebg-preview.png,225
Objects,pitcher,U:\Documents\DCC\exp4\Stimuli\Objects\pitcher\Pitcher-removebg-preview.png,225
Objects,pitcher,U:\Documents\DCC\exp4\Stimuli\Objects\pitcher\water_pitcher_8-removebg-preview.png,225
