cate,subCate,stimulus,mkCate
Animals,poultry,U:\Documents\DCC\exp4\Stimuli\Animals\poultry\poultry_01-removebg-preview.png,43
Animals,poultry,U:\Documents\DCC\exp4\Stimuli\Animals\poultry\poultry_02-removebg-preview.png,43
Animals,poultry,U:\Documents\DCC\exp4\Stimuli\Animals\poultry\poultry_03-removebg-preview.png,43
Animals,poultry,U:\Documents\DCC\exp4\Stimuli\Animals\poultry\poultry_04-removebg-preview.png,43
Animals,poultry,U:\Documents\DCC\exp4\Stimuli\Animals\poultry\poultry_05-removebg-preview.png,43
Animals,poultry,U:\Documents\DCC\exp4\Stimuli\Animals\poultry\poultry_06-removebg-preview.png,43
Animals,poultry,U:\Documents\DCC\exp4\Stimuli\Animals\poultry\poultry_07-removebg-preview.png,43
Animals,poultry,U:\Documents\DCC\exp4\Stimuli\Animals\poultry\poultry_08-removebg-preview.png,43
Animals,poultry,U:\Documents\DCC\exp4\Stimuli\Animals\poultry\poultry_09-removebg-preview.png,43
Animals,poultry,U:\Documents\DCC\exp4\Stimuli\Animals\poultry\poultry_10-removebg-preview.png,43
Animals,poultry,U:\Documents\DCC\exp4\Stimuli\Animals\poultry\poultry_11-removebg-preview.png,43
Animals,poultry,U:\Documents\DCC\exp4\Stimuli\Animals\poultry\poultry_12-removebg-preview.png,43
Animals,poultry,U:\Documents\DCC\exp4\Stimuli\Animals\poultry\poultry_13-removebg-preview.png,43
Animals,poultry,U:\Documents\DCC\exp4\Stimuli\Animals\poultry\poultry_14-removebg-preview.png,43
Animals,poultry,U:\Documents\DCC\exp4\Stimuli\Animals\poultry\poultry_15-removebg-preview.png,43
Animals,poultry,U:\Documents\DCC\exp4\Stimuli\Animals\poultry\poultry_16-removebg-preview.png,43
Animals,poultry,U:\Documents\DCC\exp4\Stimuli\Animals\poultry\poultry_17-removebg-preview.png,43
