cate,subCate,stimulus,mkCate
Animals,primate,U:\Documents\DCC\exp4\Stimuli\Animals\primate\primate_01-removebg-preview.png,45
Animals,primate,U:\Documents\DCC\exp4\Stimuli\Animals\primate\primate_02-removebg-preview.png,45
Animals,primate,U:\Documents\DCC\exp4\Stimuli\Animals\primate\primate_03-removebg-preview.png,45
Animals,primate,U:\Documents\DCC\exp4\Stimuli\Animals\primate\primate_04-removebg-preview.png,45
Animals,primate,U:\Documents\DCC\exp4\Stimuli\Animals\primate\primate_05-removebg-preview.png,45
Animals,primate,U:\Documents\DCC\exp4\Stimuli\Animals\primate\primate_06-removebg-preview.png,45
Animals,primate,U:\Documents\DCC\exp4\Stimuli\Animals\primate\primate_07-removebg-preview.png,45
Animals,primate,U:\Documents\DCC\exp4\Stimuli\Animals\primate\primate_08-removebg-preview.png,45
Animals,primate,U:\Documents\DCC\exp4\Stimuli\Animals\primate\primate_09-removebg-preview.png,45
Animals,primate,U:\Documents\DCC\exp4\Stimuli\Animals\primate\primate_10-removebg-preview.png,45
Animals,primate,U:\Documents\DCC\exp4\Stimuli\Animals\primate\primate_11-removebg-preview.png,45
Animals,primate,U:\Documents\DCC\exp4\Stimuli\Animals\primate\primate_12-removebg-preview.png,45
Animals,primate,U:\Documents\DCC\exp4\Stimuli\Animals\primate\primate_13-removebg-preview.png,45
Animals,primate,U:\Documents\DCC\exp4\Stimuli\Animals\primate\primate_14-removebg-preview.png,45
Animals,primate,U:\Documents\DCC\exp4\Stimuli\Animals\primate\primate_15-removebg-preview.png,45
Animals,primate,U:\Documents\DCC\exp4\Stimuli\Animals\primate\primate_16-removebg-preview.png,45
Animals,primate,U:\Documents\DCC\exp4\Stimuli\Animals\primate\primate_17-removebg-preview.png,45
