cate,subCate,stimulus,mkCate
Animals,procyon_civet,U:\Documents\DCC\exp4\Stimuli\Animals\procyon_civet\procyon_01-removebg-preview.png,46
Animals,procyon_civet,U:\Documents\DCC\exp4\Stimuli\Animals\procyon_civet\procyon_02-removebg-preview.png,46
Animals,procyon_civet,U:\Documents\DCC\exp4\Stimuli\Animals\procyon_civet\procyon_03-removebg-preview.png,46
Animals,procyon_civet,U:\Documents\DCC\exp4\Stimuli\Animals\procyon_civet\procyon_04-removebg-preview.png,46
Animals,procyon_civet,U:\Documents\DCC\exp4\Stimuli\Animals\procyon_civet\procyon_05-removebg-preview.png,46
Animals,procyon_civet,U:\Documents\DCC\exp4\Stimuli\Animals\procyon_civet\procyon_06-removebg-preview.png,46
Animals,procyon_civet,U:\Documents\DCC\exp4\Stimuli\Animals\procyon_civet\procyon_07-removebg-preview.png,46
Animals,procyon_civet,U:\Documents\DCC\exp4\Stimuli\Animals\procyon_civet\procyon_08-removebg-preview.png,46
Animals,procyon_civet,U:\Documents\DCC\exp4\Stimuli\Animals\procyon_civet\procyon_09-removebg-preview.png,46
Animals,procyon_civet,U:\Documents\DCC\exp4\Stimuli\Animals\procyon_civet\procyon_10-removebg-preview.png,46
Animals,procyon_civet,U:\Documents\DCC\exp4\Stimuli\Animals\procyon_civet\procyon_11-removebg-preview.png,46
Animals,procyon_civet,U:\Documents\DCC\exp4\Stimuli\Animals\procyon_civet\procyon_12-removebg-preview.png,46
Animals,procyon_civet,U:\Documents\DCC\exp4\Stimuli\Animals\procyon_civet\procyon_13-removebg-preview.png,46
Animals,procyon_civet,U:\Documents\DCC\exp4\Stimuli\Animals\procyon_civet\procyon_14-removebg-preview.png,46
Animals,procyon_civet,U:\Documents\DCC\exp4\Stimuli\Animals\procyon_civet\procyon_15-removebg-preview.png,46
Animals,procyon_civet,U:\Documents\DCC\exp4\Stimuli\Animals\procyon_civet\procyon_16-removebg-preview.png,46
Animals,procyon_civet,U:\Documents\DCC\exp4\Stimuli\Animals\procyon_civet\procyon_17-removebg-preview.png,46
