cate,subCate,stimulus,mkCate
Animals,rabbit,U:\Documents\DCC\exp4\Stimuli\Animals\rabbit\rabbit_01-removebg-preview.png,47
Animals,rabbit,U:\Documents\DCC\exp4\Stimuli\Animals\rabbit\rabbit_02-removebg-preview.png,47
Animals,rabbit,U:\Documents\DCC\exp4\Stimuli\Animals\rabbit\rabbit_03-removebg-preview.png,47
Animals,rabbit,U:\Documents\DCC\exp4\Stimuli\Animals\rabbit\rabbit_04-removebg-preview.png,47
Animals,rabbit,U:\Documents\DCC\exp4\Stimuli\Animals\rabbit\rabbit_05-removebg-preview.png,47
Animals,rabbit,U:\Documents\DCC\exp4\Stimuli\Animals\rabbit\rabbit_06-removebg-preview.png,47
Animals,rabbit,U:\Documents\DCC\exp4\Stimuli\Animals\rabbit\rabbit_07-removebg-preview.png,47
Animals,rabbit,U:\Documents\DCC\exp4\Stimuli\Animals\rabbit\rabbit_08-removebg-preview.png,47
Animals,rabbit,U:\Documents\DCC\exp4\Stimuli\Animals\rabbit\rabbit_09-removebg-preview.png,47
Animals,rabbit,U:\Documents\DCC\exp4\Stimuli\Animals\rabbit\rabbit_10-removebg-preview.png,47
Animals,rabbit,U:\Documents\DCC\exp4\Stimuli\Animals\rabbit\rabbit_11-removebg-preview.png,47
Animals,rabbit,U:\Documents\DCC\exp4\Stimuli\Animals\rabbit\rabbit_12-removebg-preview.png,47
Animals,rabbit,U:\Documents\DCC\exp4\Stimuli\Animals\rabbit\rabbit_13-removebg-preview.png,47
Animals,rabbit,U:\Documents\DCC\exp4\Stimuli\Animals\rabbit\rabbit_14-removebg-preview.png,47
Animals,rabbit,U:\Documents\DCC\exp4\Stimuli\Animals\rabbit\rabbit_15-removebg-preview.png,47
Animals,rabbit,U:\Documents\DCC\exp4\Stimuli\Animals\rabbit\rabbit_16-removebg-preview.png,47
Animals,rabbit,U:\Documents\DCC\exp4\Stimuli\Animals\rabbit\rabbit_17-removebg-preview.png,47
