cate,subCate,stimulus,mkCate
Animals,rat,U:\Documents\DCC\exp4\Stimuli\Animals\rat\rat_01-removebg-preview.png,49
Animals,rat,U:\Documents\DCC\exp4\Stimuli\Animals\rat\rat_02-removebg-preview.png,49
Animals,rat,U:\Documents\DCC\exp4\Stimuli\Animals\rat\rat_03-removebg-preview.png,49
Animals,rat,U:\Documents\DCC\exp4\Stimuli\Animals\rat\rat_04-removebg-preview.png,49
Animals,rat,U:\Documents\DCC\exp4\Stimuli\Animals\rat\rat_05-removebg-preview.png,49
Animals,rat,U:\Documents\DCC\exp4\Stimuli\Animals\rat\rat_06-removebg-preview.png,49
Animals,rat,U:\Documents\DCC\exp4\Stimuli\Animals\rat\rat_07-removebg-preview.png,49
Animals,rat,U:\Documents\DCC\exp4\Stimuli\Animals\rat\rat_08-removebg-preview.png,49
Animals,rat,U:\Documents\DCC\exp4\Stimuli\Animals\rat\rat_09-removebg-preview.png,49
Animals,rat,U:\Documents\DCC\exp4\Stimuli\Animals\rat\rat_10-removebg-preview.png,49
Animals,rat,U:\Documents\DCC\exp4\Stimuli\Animals\rat\rat_11-removebg-preview.png,49
Animals,rat,U:\Documents\DCC\exp4\Stimuli\Animals\rat\rat_12-removebg-preview.png,49
Animals,rat,U:\Documents\DCC\exp4\Stimuli\Animals\rat\rat_13-removebg-preview.png,49
Animals,rat,U:\Documents\DCC\exp4\Stimuli\Animals\rat\rat_14-removebg-preview.png,49
Animals,rat,U:\Documents\DCC\exp4\Stimuli\Animals\rat\rat_15-removebg-preview.png,49
Animals,rat,U:\Documents\DCC\exp4\Stimuli\Animals\rat\rat_16-removebg-preview.png,49
Animals,rat,U:\Documents\DCC\exp4\Stimuli\Animals\rat\rat_17-removebg-preview.png,49
