cate,subCate,stimulus,mkCate
Animals,reptile,U:\Documents\DCC\exp4\Stimuli\Animals\reptile\reptile_01-removebg-preview.png,50
Animals,reptile,U:\Documents\DCC\exp4\Stimuli\Animals\reptile\reptile_02-removebg-preview.png,50
Animals,reptile,U:\Documents\DCC\exp4\Stimuli\Animals\reptile\reptile_03-removebg-preview.png,50
Animals,reptile,U:\Documents\DCC\exp4\Stimuli\Animals\reptile\reptile_04-removebg-preview.png,50
Animals,reptile,U:\Documents\DCC\exp4\Stimuli\Animals\reptile\reptile_05-removebg-preview.png,50
Animals,reptile,U:\Documents\DCC\exp4\Stimuli\Animals\reptile\reptile_06-removebg-preview.png,50
Animals,reptile,U:\Documents\DCC\exp4\Stimuli\Animals\reptile\reptile_07-removebg-preview.png,50
Animals,reptile,U:\Documents\DCC\exp4\Stimuli\Animals\reptile\reptile_08-removebg-preview.png,50
Animals,reptile,U:\Documents\DCC\exp4\Stimuli\Animals\reptile\reptile_09-removebg-preview.png,50
Animals,reptile,U:\Documents\DCC\exp4\Stimuli\Animals\reptile\reptile_10-removebg-preview.png,50
Animals,reptile,U:\Documents\DCC\exp4\Stimuli\Animals\reptile\reptile_11-removebg-preview.png,50
Animals,reptile,U:\Documents\DCC\exp4\Stimuli\Animals\reptile\reptile_12-removebg-preview.png,50
Animals,reptile,U:\Documents\DCC\exp4\Stimuli\Animals\reptile\reptile_13-removebg-preview.png,50
Animals,reptile,U:\Documents\DCC\exp4\Stimuli\Animals\reptile\reptile_14-removebg-preview.png,50
Animals,reptile,U:\Documents\DCC\exp4\Stimuli\Animals\reptile\reptile_15-removebg-preview.png,50
Animals,reptile,U:\Documents\DCC\exp4\Stimuli\Animals\reptile\reptile_16-removebg-preview.png,50
Animals,reptile,U:\Documents\DCC\exp4\Stimuli\Animals\reptile\reptile_17-removebg-preview.png,50
