cate,subCate,stimulus,mkCate
Objects,ringbinder,U:\Documents\DCC\exp4\Stimuli\Objects\ringbinder\113074SO-1-m-removebg-preview.png,226
Objects,ringbinder,U:\Documents\DCC\exp4\Stimuli\Objects\ringbinder\113302SO-vinyl-m-removebg-preview.png,226
Objects,ringbinder,U:\Documents\DCC\exp4\Stimuli\Objects\ringbinder\409785_sk_lg-removebg-preview.png,226
Objects,ringbinder,U:\Documents\DCC\exp4\Stimuli\Objects\ringbinder\462342_sk_lg-removebg-preview.png,226
Objects,ringbinder,U:\Documents\DCC\exp4\Stimuli\Objects\ringbinder\964882_sk_lg-removebg-preview.png,226
Objects,ringbinder,U:\Documents\DCC\exp4\Stimuli\Objects\ringbinder\digitaloutside-l-removebg-preview.png,226
Objects,ringbinder,U:\Documents\DCC\exp4\Stimuli\Objects\ringbinder\lightvinyl-m-removebg-preview.png,226
Objects,ringbinder,U:\Documents\DCC\exp4\Stimuli\Objects\ringbinder\pictorial3pc-l-removebg-preview.png,226
Objects,ringbinder,U:\Documents\DCC\exp4\Stimuli\Objects\ringbinder\s0165607_enl-removebg-preview.png,226
Objects,ringbinder,U:\Documents\DCC\exp4\Stimuli\Objects\ringbinder\s0214636_enl-removebg-preview.png,226
Objects,ringbinder,U:\Documents\DCC\exp4\Stimuli\Objects\ringbinder\saunders12530_RingBinder-removebg-preview.png,226
Objects,ringbinder,U:\Documents\DCC\exp4\Stimuli\Objects\ringbinder\SI747374-m-removebg-preview.png,226
Objects,ringbinder,U:\Documents\DCC\exp4\Stimuli\Objects\ringbinder\WLJ36813NBL_1_1_400-removebg-preview.png,226
Objects,ringbinder,U:\Documents\DCC\exp4\Stimuli\Objects\ringbinder\WLJ36813NM_1_1_400-removebg-preview.png,226
Objects,ringbinder,U:\Documents\DCC\exp4\Stimuli\Objects\ringbinder\WLJ36814NB_1_1_400-removebg-preview.png,226
Objects,ringbinder,U:\Documents\DCC\exp4\Stimuli\Objects\ringbinder\WLJ36834NG_1_1_400-removebg-preview.png,226
Objects,ringbinder,U:\Documents\DCC\exp4\Stimuli\Objects\ringbinder\WLJ36849NHR_1_1_400-removebg-preview.png,226
