cate,subCate,stimulus,mkCate
Animals,sheep_alpaca,U:\Documents\DCC\exp4\Stimuli\Animals\sheep_alpaca\sheep_01-removebg-preview.png,53
Animals,sheep_alpaca,U:\Documents\DCC\exp4\Stimuli\Animals\sheep_alpaca\sheep_02-removebg-preview.png,53
Animals,sheep_alpaca,U:\Documents\DCC\exp4\Stimuli\Animals\sheep_alpaca\sheep_03-removebg-preview.png,53
Animals,sheep_alpaca,U:\Documents\DCC\exp4\Stimuli\Animals\sheep_alpaca\sheep_04-removebg-preview.png,53
Animals,sheep_alpaca,U:\Documents\DCC\exp4\Stimuli\Animals\sheep_alpaca\sheep_05-removebg-preview.png,53
Animals,sheep_alpaca,U:\Documents\DCC\exp4\Stimuli\Animals\sheep_alpaca\sheep_06-removebg-preview.png,53
Animals,sheep_alpaca,U:\Documents\DCC\exp4\Stimuli\Animals\sheep_alpaca\sheep_07-removebg-preview.png,53
Animals,sheep_alpaca,U:\Documents\DCC\exp4\Stimuli\Animals\sheep_alpaca\sheep_08-removebg-preview.png,53
Animals,sheep_alpaca,U:\Documents\DCC\exp4\Stimuli\Animals\sheep_alpaca\sheep_09-removebg-preview.png,53
Animals,sheep_alpaca,U:\Documents\DCC\exp4\Stimuli\Animals\sheep_alpaca\sheep_10-removebg-preview.png,53
Animals,sheep_alpaca,U:\Documents\DCC\exp4\Stimuli\Animals\sheep_alpaca\sheep_11-removebg-preview.png,53
Animals,sheep_alpaca,U:\Documents\DCC\exp4\Stimuli\Animals\sheep_alpaca\sheep_12-removebg-preview.png,53
Animals,sheep_alpaca,U:\Documents\DCC\exp4\Stimuli\Animals\sheep_alpaca\sheep_13-removebg-preview.png,53
Animals,sheep_alpaca,U:\Documents\DCC\exp4\Stimuli\Animals\sheep_alpaca\sheep_14-removebg-preview.png,53
Animals,sheep_alpaca,U:\Documents\DCC\exp4\Stimuli\Animals\sheep_alpaca\sheep_15-removebg-preview.png,53
Animals,sheep_alpaca,U:\Documents\DCC\exp4\Stimuli\Animals\sheep_alpaca\sheep_16-removebg-preview.png,53
Animals,sheep_alpaca,U:\Documents\DCC\exp4\Stimuli\Animals\sheep_alpaca\sheep_17-removebg-preview.png,53
