cate,subCate,stimulus,mkCate
Objects,sofa,U:\Documents\DCC\exp4\Stimuli\Objects\sofa\ACOUCH14-removebg-preview.png,227
Objects,sofa,U:\Documents\DCC\exp4\Stimuli\Objects\sofa\ACOUCH25-removebg-preview.png,227
Objects,sofa,U:\Documents\DCC\exp4\Stimuli\Objects\sofa\allegro-leather-sofa-med2-removebg-preview.png,227
Objects,sofa,U:\Documents\DCC\exp4\Stimuli\Objects\sofa\ALOVSEA12-removebg-preview.png,227
Objects,sofa,U:\Documents\DCC\exp4\Stimuli\Objects\sofa\ALOVSEA14-removebg-preview.png,227
Objects,sofa,U:\Documents\DCC\exp4\Stimuli\Objects\sofa\ALOVSEA15-removebg-preview.png,227
Objects,sofa,U:\Documents\DCC\exp4\Stimuli\Objects\sofa\ALOVSEA19-removebg-preview.png,227
Objects,sofa,U:\Documents\DCC\exp4\Stimuli\Objects\sofa\ALOVSEAT9-removebg-preview.png,227
Objects,sofa,U:\Documents\DCC\exp4\Stimuli\Objects\sofa\APEACHLOV-removebg-preview.png,227
Objects,sofa,U:\Documents\DCC\exp4\Stimuli\Objects\sofa\AREDCOUC5-removebg-preview.png,227
Objects,sofa,U:\Documents\DCC\exp4\Stimuli\Objects\sofa\dickens-sofa-main-removebg-preview.png,227
Objects,sofa,U:\Documents\DCC\exp4\Stimuli\Objects\sofa\HENRY-Sofa-falg8068-05-72X34X34-removebg-preview.png,227
Objects,sofa,U:\Documents\DCC\exp4\Stimuli\Objects\sofa\JACKSON-MS6007loveseat59X36X33-removebg-preview.png,227
Objects,sofa,U:\Documents\DCC\exp4\Stimuli\Objects\sofa\room-collection-perkoz-sofa-removebg-preview.png,227
Objects,sofa,U:\Documents\DCC\exp4\Stimuli\Objects\sofa\ShelterSofaS6-removebg-preview.png,227
Objects,sofa,U:\Documents\DCC\exp4\Stimuli\Objects\sofa\sofa-Nicholassingleseater-th-removebg-preview.png,227
Objects,sofa,U:\Documents\DCC\exp4\Stimuli\Objects\sofa\wilkie-sofa-250h-new-cd-removebg-preview.png,227
