cate,subCate,stimulus,mkCate
Animals,spider,U:\Documents\DCC\exp4\Stimuli\Animals\spider\spider_01-removebg-preview.png,55
Animals,spider,U:\Documents\DCC\exp4\Stimuli\Animals\spider\spider_02-removebg-preview.png,55
Animals,spider,U:\Documents\DCC\exp4\Stimuli\Animals\spider\spider_03-removebg-preview.png,55
Animals,spider,U:\Documents\DCC\exp4\Stimuli\Animals\spider\spider_04-removebg-preview.png,55
Animals,spider,U:\Documents\DCC\exp4\Stimuli\Animals\spider\spider_05-removebg-preview.png,55
Animals,spider,U:\Documents\DCC\exp4\Stimuli\Animals\spider\spider_06-removebg-preview.png,55
Animals,spider,U:\Documents\DCC\exp4\Stimuli\Animals\spider\spider_07-removebg-preview.png,55
Animals,spider,U:\Documents\DCC\exp4\Stimuli\Animals\spider\spider_08-removebg-preview.png,55
Animals,spider,U:\Documents\DCC\exp4\Stimuli\Animals\spider\spider_09-removebg-preview.png,55
Animals,spider,U:\Documents\DCC\exp4\Stimuli\Animals\spider\spider_10-removebg-preview.png,55
Animals,spider,U:\Documents\DCC\exp4\Stimuli\Animals\spider\spider_11-removebg-preview.png,55
Animals,spider,U:\Documents\DCC\exp4\Stimuli\Animals\spider\spider_12-removebg-preview.png,55
Animals,spider,U:\Documents\DCC\exp4\Stimuli\Animals\spider\spider_13-removebg-preview.png,55
Animals,spider,U:\Documents\DCC\exp4\Stimuli\Animals\spider\spider_14-removebg-preview.png,55
Animals,spider,U:\Documents\DCC\exp4\Stimuli\Animals\spider\spider_15-removebg-preview.png,55
Animals,spider,U:\Documents\DCC\exp4\Stimuli\Animals\spider\Spider_16-removebg-preview.png,55
Animals,spider,U:\Documents\DCC\exp4\Stimuli\Animals\spider\spider_17-removebg-preview.png,55
