cate,subCate,stimulus,mkCate
Objects,spoon,U:\Documents\DCC\exp4\Stimuli\Objects\spoon\060350-removebg-preview.png,228
Objects,spoon,U:\Documents\DCC\exp4\Stimuli\Objects\spoon\198_cuillere-removebg-preview.png,228
Objects,spoon,U:\Documents\DCC\exp4\Stimuli\Objects\spoon\33r-removebg-preview.png,228
Objects,spoon,U:\Documents\DCC\exp4\Stimuli\Objects\spoon\4004b-removebg-preview.png,228
Objects,spoon,U:\Documents\DCC\exp4\Stimuli\Objects\spoon\720-1-removebg-preview.png,228
Objects,spoon,U:\Documents\DCC\exp4\Stimuli\Objects\spoon\cuillere-africaine-dan-ca-removebg-preview.png,228
Objects,spoon,U:\Documents\DCC\exp4\Stimuli\Objects\spoon\cuillere-removebg-preview.png,228
Objects,spoon,U:\Documents\DCC\exp4\Stimuli\Objects\spoon\cuillere_amuse_bouche_plate-removebg-preview.png,228
Objects,spoon,U:\Documents\DCC\exp4\Stimuli\Objects\spoon\cuillere_balance_digitale_verte-removebg-preview.png,228
Objects,spoon,U:\Documents\DCC\exp4\Stimuli\Objects\spoon\cuilllercuiller-removebg-preview.png,228
Objects,spoon,U:\Documents\DCC\exp4\Stimuli\Objects\spoon\hhar-removebg-preview.png,228
Objects,spoon,U:\Documents\DCC\exp4\Stimuli\Objects\spoon\iir-removebg-preview.png,228
Objects,spoon,U:\Documents\DCC\exp4\Stimuli\Objects\spoon\rrr-removebg-preview.png,228
Objects,spoon,U:\Documents\DCC\exp4\Stimuli\Objects\spoon\spoon3-removebg-preview.png,228
Objects,spoon,U:\Documents\DCC\exp4\Stimuli\Objects\spoon\spoonr-removebg-preview.png,228
Objects,spoon,U:\Documents\DCC\exp4\Stimuli\Objects\spoon\sppon2-removebg-preview.png,228
Objects,spoon,U:\Documents\DCC\exp4\Stimuli\Objects\spoon\xsaltspoon6-removebg-preview.png,228
