cate,subCate,stimulus,mkCate
Animals,suiformes,U:\Documents\DCC\exp4\Stimuli\Animals\suiformes\suiformes_01-removebg-preview.png,56
Animals,suiformes,U:\Documents\DCC\exp4\Stimuli\Animals\suiformes\suiformes_02-removebg-preview.png,56
Animals,suiformes,U:\Documents\DCC\exp4\Stimuli\Animals\suiformes\suiformes_03-removebg-preview.png,56
Animals,suiformes,U:\Documents\DCC\exp4\Stimuli\Animals\suiformes\suiformes_04-removebg-preview.png,56
Animals,suiformes,U:\Documents\DCC\exp4\Stimuli\Animals\suiformes\suiformes_05-removebg-preview.png,56
Animals,suiformes,U:\Documents\DCC\exp4\Stimuli\Animals\suiformes\suiformes_06-removebg-preview.png,56
Animals,suiformes,U:\Documents\DCC\exp4\Stimuli\Animals\suiformes\suiformes_07-removebg-preview.png,56
Animals,suiformes,U:\Documents\DCC\exp4\Stimuli\Animals\suiformes\suiformes_08-removebg-preview.png,56
Animals,suiformes,U:\Documents\DCC\exp4\Stimuli\Animals\suiformes\suiformes_09-removebg-preview.png,56
Animals,suiformes,U:\Documents\DCC\exp4\Stimuli\Animals\suiformes\suiformes_10-removebg-preview.png,56
Animals,suiformes,U:\Documents\DCC\exp4\Stimuli\Animals\suiformes\suiformes_11-removebg-preview.png,56
Animals,suiformes,U:\Documents\DCC\exp4\Stimuli\Animals\suiformes\suiformes_12-removebg-preview.png,56
Animals,suiformes,U:\Documents\DCC\exp4\Stimuli\Animals\suiformes\suiformes_13-removebg-preview.png,56
Animals,suiformes,U:\Documents\DCC\exp4\Stimuli\Animals\suiformes\suiformes_14-removebg-preview.png,56
Animals,suiformes,U:\Documents\DCC\exp4\Stimuli\Animals\suiformes\suiformes_15-removebg-preview.png,56
Animals,suiformes,U:\Documents\DCC\exp4\Stimuli\Animals\suiformes\suiformes_16-removebg-preview.png,56
Animals,suiformes,U:\Documents\DCC\exp4\Stimuli\Animals\suiformes\suiformes_17-removebg-preview.png,56
