cate,subCate,stimulus,mkCate
Animals,turtle,U:\Documents\DCC\exp4\Stimuli\Animals\turtle\turtle_01-removebg-preview.png,57
Animals,turtle,U:\Documents\DCC\exp4\Stimuli\Animals\turtle\turtle_02-removebg-preview.png,57
Animals,turtle,U:\Documents\DCC\exp4\Stimuli\Animals\turtle\turtle_03-removebg-preview.png,57
Animals,turtle,U:\Documents\DCC\exp4\Stimuli\Animals\turtle\turtle_04-removebg-preview.png,57
Animals,turtle,U:\Documents\DCC\exp4\Stimuli\Animals\turtle\turtle_05-removebg-preview.png,57
Animals,turtle,U:\Documents\DCC\exp4\Stimuli\Animals\turtle\turtle_06-removebg-preview.png,57
Animals,turtle,U:\Documents\DCC\exp4\Stimuli\Animals\turtle\turtle_07-removebg-preview.png,57
Animals,turtle,U:\Documents\DCC\exp4\Stimuli\Animals\turtle\turtle_08-removebg-preview.png,57
Animals,turtle,U:\Documents\DCC\exp4\Stimuli\Animals\turtle\turtle_09-removebg-preview.png,57
Animals,turtle,U:\Documents\DCC\exp4\Stimuli\Animals\turtle\turtle_10-removebg-preview.png,57
Animals,turtle,U:\Documents\DCC\exp4\Stimuli\Animals\turtle\turtle_11-removebg-preview.png,57
Animals,turtle,U:\Documents\DCC\exp4\Stimuli\Animals\turtle\turtle_12-removebg-preview.png,57
Animals,turtle,U:\Documents\DCC\exp4\Stimuli\Animals\turtle\turtle_13-removebg-preview.png,57
Animals,turtle,U:\Documents\DCC\exp4\Stimuli\Animals\turtle\turtle_14-removebg-preview.png,57
Animals,turtle,U:\Documents\DCC\exp4\Stimuli\Animals\turtle\turtle_15-removebg-preview.png,57
Animals,turtle,U:\Documents\DCC\exp4\Stimuli\Animals\turtle\turtle_16-removebg-preview.png,57
Animals,turtle,U:\Documents\DCC\exp4\Stimuli\Animals\turtle\turtle_17-removebg-preview.png,57
