cate,subCate,stimulus,mkCate
Animals,wolf,U:\Documents\DCC\exp4\Stimuli\Animals\wolf\wolf_01-removebg-preview.png,59
Animals,wolf,U:\Documents\DCC\exp4\Stimuli\Animals\wolf\wolf_02-removebg-preview.png,59
Animals,wolf,U:\Documents\DCC\exp4\Stimuli\Animals\wolf\wolf_03-removebg-preview.png,59
Animals,wolf,U:\Documents\DCC\exp4\Stimuli\Animals\wolf\wolf_04-removebg-preview.png,59
Animals,wolf,U:\Documents\DCC\exp4\Stimuli\Animals\wolf\wolf_05-removebg-preview.png,59
Animals,wolf,U:\Documents\DCC\exp4\Stimuli\Animals\wolf\wolf_06-removebg-preview.png,59
Animals,wolf,U:\Documents\DCC\exp4\Stimuli\Animals\wolf\wolf_07-removebg-preview.png,59
Animals,wolf,U:\Documents\DCC\exp4\Stimuli\Animals\wolf\wolf_08-removebg-preview.png,59
Animals,wolf,U:\Documents\DCC\exp4\Stimuli\Animals\wolf\wolf_09-removebg-preview.png,59
Animals,wolf,U:\Documents\DCC\exp4\Stimuli\Animals\wolf\wolf_10-removebg-preview.png,59
Animals,wolf,U:\Documents\DCC\exp4\Stimuli\Animals\wolf\wolf_11-removebg-preview.png,59
Animals,wolf,U:\Documents\DCC\exp4\Stimuli\Animals\wolf\wolf_12-removebg-preview.png,59
Animals,wolf,U:\Documents\DCC\exp4\Stimuli\Animals\wolf\wolf_13-removebg-preview.png,59
Animals,wolf,U:\Documents\DCC\exp4\Stimuli\Animals\wolf\wolf_14-removebg-preview.png,59
Animals,wolf,U:\Documents\DCC\exp4\Stimuli\Animals\wolf\wolf_15-removebg-preview.png,59
Animals,wolf,U:\Documents\DCC\exp4\Stimuli\Animals\wolf\wolf_16-removebg-preview.png,59
Animals,wolf,U:\Documents\DCC\exp4\Stimuli\Animals\wolf\wolf_17-removebg-preview.png,59
