cate,subCate,stimulus,schAns,cond,markCode,dur,acc,markCodeResp,onsetT,rt,resp,setsize,block,subj,age,gender,handed
Objects,ringbinder,Stimuli/Objects/ringbinder/WLJ36813NBL_1_1_400.JPG,f,targ,91,1.8,1,96,92.7866144,0.5441178,f,1,Objects,1,30,F,L
Objects,cookpot,Stimuli/Objects/cookpot/ACOOKPO56.jpg,j,within,121,1.8,1,96,94.7985522,0.6561913,j,1,Objects,1,30,F,L
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_13.jpg,j,between,211,1.8,1,96,96.808555,0.7331951,j,1,Objects,1,30,F,L
Objects,ringbinder,Stimuli/Objects/ringbinder/WLJ36813NBL_1_1_400.JPG,f,targ,91,2.3,1,96,98.8183547,0.5953477,f,1,Objects,1,30,F,L
Objects,ringbinder,Stimuli/Objects/ringbinder/WLJ36813NBL_1_1_400.JPG,f,targ,91,2.3,1,96,101.3285003,0.5533018,f,1,Objects,1,30,F,L
Objects,ringbinder,Stimuli/Objects/ringbinder/WLJ36813NBL_1_1_400.JPG,f,targ,91,1.8,1,96,103.8377668,0.5520306,f,1,Objects,1,30,F,L
Animals,wolf,Stimuli/Animals/wolf/wolf_06.jpg,j,between,211,1.8,1,96,105.8492202,0.6284993,j,1,Objects,1,30,F,L
Objects,glove,Stimuli/Objects/glove/golf-glove.jpg,j,within,121,1.8,1,96,107.8615952,0.660196,j,1,Objects,1,30,F,L
Animals,crustacea,Stimuli/Animals/crustacea/crustacea_06.jpg,j,between,211,2.3,1,96,109.8714626,0.5064778,j,1,Objects,1,30,F,L
Objects,spoon,Stimuli/Objects/spoon/720-1.jpg,j,within,121,2.3,1,96,112.3822367,0.571423,j,1,Objects,1,30,F,L
Objects,hairbrush,Stimuli/Objects/hairbrush/B0006BKG7U.01-A1NDBS7YGOPBD6._SCLZZZZZZZ_SS500_.jpg,j,within,121,1.8,1,96,114.8933447,0.6643588,j,1,Objects,1,30,F,L
Objects,makeupcompact,Stimuli/Objects/makeupcompact/P109965_hero.jpg,j,within,121,1.8,1,96,116.9067761,0.6589062,j,1,Objects,1,30,F,L
Animals,deer,Stimuli/Animals/deer/deer_13.jpg,j,between,211,1.8,1,96,118.9193697,0.5493135,j,1,Objects,1,30,F,L
Objects,bed,Stimuli/Objects/bed/51442C3RKNL._AA262_.jpg,j,within,121,2.3,1,96,120.9306208,0.3981201,j,1,Objects,1,30,F,L
Animals,wolf,Stimuli/Animals/wolf/wolf_12.jpg,j,between,211,2.3,1,96,123.4419047,0.4747372,j,1,Objects,1,30,F,L
Animals,reptile,Stimuli/Animals/reptile/reptile_17.jpg,j,between,211,1.8,1,96,125.9529605,0.351657,j,1,Objects,1,30,F,L
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_13.jpg,j,between,211,1.8,1,96,127.9631501,0.4255373,j,1,Objects,1,30,F,L
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_11.jpg,j,between,211,1.8,1,96,129.9725313,0.3521399,j,1,Objects,1,30,F,L
Objects,pitcher,Stimuli/Objects/pitcher/Apitcher19.jpg,j,within,121,2.3,1,96,131.981293,0.3873643,j,1,Objects,1,30,F,L
Objects,ringbinder,Stimuli/Objects/ringbinder/WLJ36813NBL_1_1_400.JPG,f,targ,91,1.8,1,96,134.4915476,0.5250093,f,1,Objects,1,30,F,L
Animals,poultry,Stimuli/Animals/poultry/poultry_10.jpg,j,between,211,2.3,1,96,136.5008775,0.475968,j,1,Objects,1,30,F,L
Animals,primate,Stimuli/Animals/primate/primate_09.jpg,j,between,211,2.3,1,96,139.0122484,0.4963267,j,1,Objects,1,30,F,L
Objects,makeupcompact,Stimuli/Objects/makeupcompact/P95108_hero.jpg,j,within,121,1.8,1,96,141.5238017,0.3678087,j,1,Objects,1,30,F,L
Animals,beast,Stimuli/Animals/beast/beast_14.jpg,j,between,211,2.3,1,96,143.5337138,0.3738834,j,1,Objects,1,30,F,L
Animals,deer,Stimuli/Animals/deer/deer_14.jpg,j,between,211,2.3,1,96,146.046432,0.3691818,j,1,Objects,1,30,F,L
Objects,ringbinder,Stimuli/Objects/ringbinder/WLJ36813NBL_1_1_400.JPG,f,targ,91,1.8,1,96,148.5561216,0.5595249,f,1,Objects,1,30,F,L
Objects,camcorder,Stimuli/Objects/camcorder/sony-HDR-HC3-camcorder.jpg,j,within,121,1.8,1,96,150.5683693,0.4912302,j,1,Objects,1,30,F,L
Objects,ringbinder,Stimuli/Objects/ringbinder/WLJ36813NBL_1_1_400.JPG,f,targ,91,2.3,0,96,152.578651,0.37303,j,1,Objects,1,30,F,L
Objects,sofa,Stimuli/Objects/sofa/AREDCOUC5.jpg,j,within,121,2.3,1,96,155.0883763,0.4312048,j,1,Objects,1,30,F,L
Objects,camcorder,Stimuli/Objects/camcorder/Style-DV3.jpg,j,within,121,2.3,1,96,157.5996134,0.5798986,j,1,Objects,1,30,F,L
Objects,bed,Stimuli/Objects/bed/furniture_4.jpg,j,within,121,2.3,1,96,160.1120848,0.7555027,j,1,Objects,1,30,F,L
Objects,bowtie,Stimuli/Objects/bowtie/ABOWTIE7.jpg,j,within,121,2.3,1,96,162.6231366,0.6763659,j,1,Objects,1,30,F,L
Animals,fish,Stimuli/Animals/fish/fish_12.jpg,j,between,211,1.8,1,96,165.1327572,0.4178179,j,1,Objects,1,30,F,L
Objects,ceilingfan,Stimuli/Objects/ceilingfan/6452cd12-10c6-492a-b59c-ffac9f8f4b0c_300.jpg,j,within,121,1.8,1,96,167.1445212,0.6500047,j,1,Objects,1,30,F,L
Animals,marsupialia_australia,Stimuli/Animals/marsupialia_australia/marsupialia_07.jpg,j,between,211,2.3,1,96,169.1549088,0.4236698,j,1,Objects,1,30,F,L
